CPT_PERIODENDING	ZONEID	MW
2007-01-02 16:45:00	246	1403
2007-01-02 17:00:00	240	6021
2007-01-02 17:00:00	242	15507
2007-01-02 17:00:00	244	9801
2007-01-02 17:00:00	246	1446
2007-01-02 17:15:00	240	6176
2007-01-02 17:15:00	242	16301
2007-01-02 17:15:00	244	9715
2007-01-02 17:15:00	246	1575
2007-01-02 17:30:00	240	6256
2007-01-02 17:30:00	242	16253
2007-01-02 17:30:00	244	9736
2007-01-02 17:30:00	246	1623
2007-01-02 17:45:00	240	6336
2007-01-02 17:45:00	242	16198
2007-01-02 17:45:00	244	9793
2007-01-02 17:45:00	246	1685
2007-01-02 18:00:00	240	6416
2007-01-02 18:00:00	242	16136
2007-01-02 18:00:00	244	9882
2007-01-02 18:00:00	246	1754
2007-01-02 18:15:00	240	6712
2007-01-02 18:15:00	242	16931
2007-01-02 18:15:00	244	10299
2007-01-02 18:15:00	246	1794
2007-01-02 18:30:00	240	6712
2007-01-02 18:30:00	242	16882
2007-01-02 18:30:00	244	10376
2007-01-02 18:30:00	246	1844
2007-01-02 18:45:00	240	6712
2007-01-02 18:45:00	242	16852
2007-01-02 18:45:00	244	10427
2007-01-02 18:45:00	246	1882
2007-01-02 19:00:00	240	6712
2007-01-02 19:00:00	242	16840
2007-01-02 19:00:00	244	10450
2007-01-02 19:00:00	246	1900
2007-01-02 19:15:00	240	6514
2007-01-02 19:15:00	242	16997
2007-01-02 19:15:00	244	10550
2007-01-02 19:15:00	246	1897
2007-01-02 19:30:00	240	6514
2007-01-02 19:30:00	242	16994
2007-01-02 19:30:00	244	10558
2007-01-02 19:30:00	246	1903
2007-01-02 19:45:00	240	6514
2007-01-02 19:45:00	242	16997
2007-01-02 19:45:00	244	10573
2007-01-02 19:45:00	246	1925
2007-01-02 20:00:00	240	6514
2007-01-02 20:00:00	242	17007
2007-01-02 20:00:00	244	10583
2007-01-02 20:00:00	246	1924
2007-01-02 20:15:00	240	6487
2007-01-02 20:15:00	242	16888
2007-01-02 20:15:00	244	10561
2007-01-02 20:15:00	246	1890
2007-01-02 20:30:00	240	6611
2007-01-02 20:30:00	242	16904
2007-01-02 20:30:00	244	10546
2007-01-02 20:30:00	246	1875
2007-01-02 20:45:00	240	6661
2007-01-02 20:45:00	242	16931
2007-01-02 20:45:00	244	10502
2007-01-02 20:45:00	246	1884
2007-01-02 21:00:00	240	6711
2007-01-02 21:00:00	242	16969
2007-01-02 21:00:00	244	10428
2007-01-02 21:00:00	246	1854
2007-01-02 21:15:00	240	6706
2007-01-02 21:15:00	242	16795
2007-01-02 21:15:00	244	10419
2007-01-02 21:15:00	246	1741
2007-01-02 21:30:00	240	6686
2007-01-02 21:30:00	242	16831
2007-01-02 21:30:00	244	10381
2007-01-02 21:30:00	246	1705
2007-01-02 21:45:00	240	6606
2007-01-02 21:45:00	242	16909
2007-01-02 21:45:00	244	10325
2007-01-02 21:45:00	246	1695
2007-01-02 22:00:00	240	6526
2007-01-02 22:00:00	242	16968
2007-01-02 22:00:00	244	10251
2007-01-02 22:00:00	246	1699
2007-01-02 22:15:00	240	6113
2007-01-02 22:15:00	242	14990
2007-01-02 22:15:00	244	9624
2007-01-02 22:15:00	246	1483
2007-01-02 22:30:00	240	6103
2007-01-02 22:30:00	242	14968
2007-01-02 22:30:00	244	9606
2007-01-02 22:30:00	246	1479
2007-01-02 22:45:00	240	6103
2007-01-02 22:45:00	242	14985
2007-01-02 22:45:00	244	9587
2007-01-02 22:45:00	246	1479
2007-01-02 23:00:00	240	6103
2007-01-02 23:00:00	242	14752
2007-01-02 23:00:00	244	9568
2007-01-02 23:00:00	246	1444
2007-01-02 23:15:00	240	6039
2007-01-02 23:15:00	242	14090
2007-01-02 23:15:00	244	9030
2007-01-02 23:15:00	246	1347
2007-01-02 23:30:00	240	6039
2007-01-02 23:30:00	242	14137
2007-01-02 23:30:00	244	9014
2007-01-02 23:30:00	246	1300
2007-01-02 23:45:00	240	6039
2007-01-02 23:45:00	242	14192
2007-01-02 23:45:00	244	9005
2007-01-02 23:45:00	246	1247
2007-01-03 00:00:00	240	6039
