,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind direction | (deg)","Wind speed | (m/s)"
"Jan 12, 06:00 am",0.549,9521.45,0.968201,318,6.013
"Jan 12, 07:00 am",-0.038,6999.35,0.968765,329,5.611
"Jan 12, 08:00 am",0.262,23198.1,0.969337,334,7.974
"Jan 12, 09:00 am",-0.006,20987.5,0.969795,342,7.634
"Jan 12, 10:00 am",0.167,41490.8,0.970325,344,9.744
"Jan 12, 11:00 am",0.036,37892.5,0.970946,347,9.377
"Jan 12, 12:00 pm",0.027,37906.9,0.971435,349,9.368
"Jan 12, 01:00 pm",1.139,14928.3,0.971975,349,6.858
"Jan 12, 02:00 pm",2.095,0,0.972413,35,2.999
"Jan 12, 03:00 pm",2.989,0,0.972609,51,2.552
"Jan 12, 04:00 pm",3.811,0,0.972316,52,2.294
"Jan 12, 05:00 pm",4.645,0,0.972203,69,1.736
"Jan 12, 06:00 pm",5.225,0,0.9723,128,1.537
"Jan 12, 07:00 pm",5.508,0,0.97222,150,2.123
"Jan 12, 08:00 pm",5.554,0,0.972145,151,2.168
"Jan 12, 09:00 pm",4.549,0,0.971995,149,2.711
"Jan 12, 10:00 pm",2.812,0,0.972101,157,3.073
"Jan 12, 11:00 pm",2.558,1092.45,0.972467,153,3.882
"Jan 13, 12:00 am",2.331,2879.91,0.972583,146,4.581
"Jan 13, 01:00 am",1.954,1873.73,0.972566,166,4.197
"Jan 13, 02:00 am",0.728,3402.11,0.972391,166,4.722
"Jan 13, 03:00 am",0.173,5243.69,0.972092,156,5.251
"Jan 13, 04:00 am",-0.003,8500.84,0.971647,170,5.811
"Jan 13, 05:00 am",0.097,9221.56,0.971274,175,5.957
"Jan 13, 06:00 am",0.364,9183.03,0.970968,173,5.951
"Jan 13, 07:00 am",-0.011,2723.18,0.970672,176,4.496
"Jan 13, 08:00 am",-0.057,0,0.970145,199,2.364
"Jan 13, 09:00 am",-0.112,0,0.969544,218,1.789
"Jan 13, 10:00 am",-0.147,0,0.969221,232,1.547
