,"Air temperature | ('C)","Power generated by system | (kW)","Pressure | (atm)","Wind speed | (m/s)","Wind direction | (deg)"
"Jul 15, 05:00 pm",32.945,0,0.980255,0.503,210
"Jul 15, 06:00 pm",33.772,0,0.97965,1.085,279
"Jul 15, 07:00 pm",34.333,0,0.979279,1.173,293
"Jul 15, 08:00 pm",34.598,0,0.978815,1.164,287
"Jul 15, 09:00 pm",34.694,0,0.978512,0.549,67
"Jul 15, 10:00 pm",34.579,0,0.978298,1.472,31
"Jul 15, 11:00 pm",33.85,0,0.978406,1.579,244
"Jul 16, 12:00 am",29.415,1014.37,0.978483,3.858,246
"Jul 16, 01:00 am",27.083,0,0.97892,1.251,233
"Jul 16, 02:00 am",26.086,0,0.979068,1.141,91
"Jul 16, 03:00 am",25.288,0,0.979193,1.784,112
"Jul 16, 04:00 am",23.997,0,0.979313,3.335,181
"Jul 16, 05:00 am",23.048,1459.77,0.979471,4.069,194
"Jul 16, 06:00 am",22.593,0,0.979329,2.819,186
"Jul 16, 07:00 am",21.869,0,0.97967,2.851,191
"Jul 16, 08:00 am",21.641,0,0.979795,3.39,198
"Jul 16, 09:00 am",21.609,0,0.979792,2.328,235
"Jul 16, 10:00 am",21.279,1980.59,0.980269,4.299,199
"Jul 16, 11:00 am",22.942,0,0.98027,2.686,197
"Jul 16, 12:00 pm",25.306,0,0.980492,2.733,177
"Jul 16, 01:00 pm",27.132,0,0.980592,3.423,174
"Jul 16, 02:00 pm",28.922,0,0.980537,3.405,187
"Jul 16, 03:00 pm",30.62,0,0.980394,2.817,193
"Jul 16, 04:00 pm",32.002,0,0.980141,2.48,192
"Jul 16, 05:00 pm",33.099,0,0.979605,3.064,171
"Jul 16, 06:00 pm",33.881,839.929,0.97894,3.769,167
"Jul 16, 07:00 pm",33.607,3461.29,0.978467,4.902,203
"Jul 16, 08:00 pm",29.828,29652.6,0.978941,8.963,267
"Jul 16, 09:00 pm",30.034,4462.14,0.978684,5.173,263
"Jul 16, 10:00 pm",29.756,4023.01,0.979056,5.003,231
"Jul 16, 11:00 pm",28.064,1573.81,0.979364,4.141,248
"Jul 17, 12:00 am",25.747,0,0.979683,2.564,254
"Jul 17, 01:00 am",24.409,0,0.979758,2.516,215
"Jul 17, 02:00 am",23.642,1310.56,0.980001,3.996,219
"Jul 17, 03:00 am",23.555,10543.9,0.98031,6.337,215
"Jul 17, 04:00 am",23.848,8780,0.980251,6.006,241
"Jul 17, 05:00 am",23.279,0,0.980521,2.89,253
"Jul 17, 06:00 am",22.988,0,0.980864,3.363,197
"Jul 17, 07:00 am",22.341,4723.69,0.980981,5.171,198
"Jul 17, 08:00 am",22.917,4813.28,0.980915,5.211,200
"Jul 17, 09:00 am",22.225,5612.58,0.981211,5.4,215
"Jul 17, 10:00 am",21.768,2165.6,0.981717,4.4,207
"Jul 17, 11:00 am",22.497,1640.61,0.982187,4.195,206
"Jul 17, 12:00 pm",24.007,0,0.982466,3.034,200
"Jul 17, 01:00 pm",25.332,0,0.982495,3.336,189
"Jul 17, 02:00 pm",26.789,1535.42,0.982497,4.136,200
"Jul 17, 03:00 pm",28.138,1356.23,0.982293,4.048,213
"Jul 17, 04:00 pm",29.362,2326.97,0.981893,4.473,211
"Jul 17, 05:00 pm",29.938,3470.29,0.981315,4.851,197
"Jul 17, 06:00 pm",30.779,4199.66,0.980709,5.082,213
"Jul 17, 07:00 pm",31.432,8947.28,0.980172,6.065,231
"Jul 17, 08:00 pm",30.487,17589.6,0.980181,7.444,214
"Jul 17, 09:00 pm",30.822,14027.6,0.980336,7.019,208
"Jul 17, 10:00 pm",28.245,29963,0.980324,8.82,187
"Jul 17, 11:00 pm",27.472,16347,0.980571,7.199,185
"Jul 18, 12:00 am",25.876,6673.69,0.980757,5.585,173
"Jul 18, 01:00 am",24.331,10495.1,0.98115,6.286,171
"Jul 18, 02:00 am",23.661,11231.9,0.981212,6.463,170
"Jul 18, 03:00 am",22.662,10023.7,0.980976,6.181,178
"Jul 18, 04:00 am",21.961,8585.28,0.98075,5.95,186
"Jul 18, 05:00 am",21.572,5381.11,0.980726,5.311,193
"Jul 18, 06:00 am",21.501,5876.82,0.981119,5.429,188
"Jul 18, 07:00 am",21.429,4072.24,0.981475,4.978,177
"Jul 18, 08:00 am",20.938,5015.81,0.981581,5.226,196
"Jul 18, 09:00 am",20.969,5713.87,0.981946,5.394,194
"Jul 18, 10:00 am",20.671,7157.15,0.982125,5.688,199
"Jul 18, 11:00 am",21.495,4164.6,0.982382,5.065,207
"Jul 18, 12:00 pm",23.002,0,0.982384,2.666,207
"Jul 18, 01:00 pm",25.266,0,0.982551,3.02,204
"Jul 18, 02:00 pm",27.126,1158.74,0.982324,3.951,211
"Jul 18, 03:00 pm",28.333,2163.02,0.982174,4.375,217
"Jul 18, 04:00 pm",29.176,1821.4,0.981772,4.237,220
"Jul 18, 05:00 pm",30.403,5823.63,0.98122,5.467,218
"Jul 18, 06:00 pm",31.271,8411.69,0.980479,5.97,225
"Jul 18, 07:00 pm",32.099,3852.54,0.979631,4.964,230
"Jul 18, 08:00 pm",32.494,5342.26,0.978931,5.355,226
"Jul 18, 09:00 pm",32.685,6916.67,0.978635,5.664,228
"Jul 18, 10:00 pm",32.887,10924.2,0.978431,6.484,221
"Jul 18, 11:00 pm",31.99,12885.7,0.97839,6.784,222
"Jul 19, 12:00 am",29.317,15242.6,0.978826,7.081,221
"Jul 19, 01:00 am",28.38,30267.8,0.978798,8.965,211
"Jul 19, 02:00 am",27.624,35651.2,0.979273,9.611,206
"Jul 19, 03:00 am",25.894,29387.2,0.979182,8.769,195
"Jul 19, 04:00 am",24.595,25730.2,0.978928,8.453,203
"Jul 19, 05:00 am",24.377,20847.9,0.979055,7.85,200
"Jul 19, 06:00 am",25.462,24305.9,0.979244,8.311,208
"Jul 19, 07:00 am",25.91,27997.6,0.979463,8.625,220
"Jul 19, 08:00 am",24.854,26680.6,0.979525,8.477,219
"Jul 19, 09:00 am",23.177,22164,0.979997,7.937,220
"Jul 19, 10:00 am",22.275,20518.4,0.980473,7.73,219
"Jul 19, 11:00 am",23.61,17842.5,0.980811,7.378,232
"Jul 19, 12:00 pm",24.093,10481.7,0.981916,6.329,19
"Jul 19, 01:00 pm",23.282,17062.3,0.982403,7.28,38
"Jul 19, 02:00 pm",22.463,16439.2,0.982866,7.257,31
"Jul 19, 03:00 pm",22.369,0,0.983247,2.582,14
"Jul 19, 04:00 pm",22.264,0,0.983177,2.433,223
"Jul 19, 05:00 pm",23.245,604.164,0.982303,3.647,213
"Jul 19, 06:00 pm",25.437,0,0.981328,3.347,257
"Jul 19, 07:00 pm",25.564,0,0.981396,1.729,304
"Jul 19, 08:00 pm",26.793,0,0.980963,2.751,276
"Jul 19, 09:00 pm",27.581,410.599,0.98063,3.62,289
"Jul 19, 10:00 pm",27.339,0,0.980418,3.345,281
"Jul 19, 11:00 pm",26.883,0,0.980449,3.181,297
"Jul 20, 12:00 am",25.238,0,0.98024,2.916,299
"Jul 20, 01:00 am",23.758,0,0.980107,1.594,298
"Jul 20, 02:00 am",22.739,0,0.98041,2.336,312
"Jul 20, 03:00 am",22.264,0,0.980428,1.109,314
"Jul 20, 04:00 am",21.758,0,0.980001,0.512,169
"Jul 20, 05:00 am",21.427,0,0.980208,1.468,152
"Jul 20, 06:00 am",21.366,0,0.980361,2.774,170
"Jul 20, 07:00 am",21.331,872.954,0.980788,3.766,169
"Jul 20, 08:00 am",21.556,0,0.980988,3.345,191
"Jul 20, 09:00 am",21.439,0,0.981453,3.14,195
"Jul 20, 10:00 am",21.307,0,0.981866,2.221,210
"Jul 20, 11:00 am",22.373,0,0.982262,1.679,219
"Jul 20, 12:00 pm",24.79,0,0.982633,1.444,204
"Jul 20, 01:00 pm",26.76,0,0.982984,2.02,204
"Jul 20, 02:00 pm",28.672,0,0.983003,3.096,224
"Jul 20, 03:00 pm",30.185,1616.22,0.983147,4.161,229
"Jul 20, 04:00 pm",31.537,3209.59,0.982889,4.764,230
"Jul 20, 05:00 pm",31.811,5311.65,0.982695,5.348,235
"Jul 20, 06:00 pm",32.847,6183.77,0.982319,5.535,231
"Jul 20, 07:00 pm",33.297,5177.79,0.981976,5.321,238
"Jul 20, 08:00 pm",33.588,7762.4,0.981571,5.849,251
"Jul 20, 09:00 pm",33.709,7839.92,0.981311,5.872,235
"Jul 20, 10:00 pm",32.983,10037.3,0.981199,6.255,248
"Jul 20, 11:00 pm",32.151,0,0.981058,3.564,269
"Jul 21, 12:00 am",29.131,8845.05,0.980885,6.034,247
"Jul 21, 01:00 am",27.205,13367.6,0.980876,6.824,235
"Jul 21, 02:00 am",26.473,10451.1,0.981218,6.301,225
"Jul 21, 03:00 am",25.671,5154.24,0.981829,5.276,230
"Jul 21, 04:00 am",24.958,141.568,0.982252,3.613,258
"Jul 21, 05:00 am",24.641,0,0.982559,2.676,255
"Jul 21, 06:00 am",23.661,0,0.982854,2.17,219
"Jul 21, 07:00 am",23.109,0,0.983265,1.583,221
"Jul 21, 08:00 am",22.412,0,0.98332,2.562,205
"Jul 21, 09:00 am",21.914,0,0.983707,3.05,213
"Jul 21, 10:00 am",21.384,0,0.983868,3.19,227
"Jul 21, 11:00 am",22.293,0,0.984247,3.034,231
"Jul 21, 12:00 pm",24.946,0,0.98468,2.109,252
"Jul 21, 01:00 pm",27.812,0,0.984701,1.269,246
"Jul 21, 02:00 pm",29.765,0,0.984785,2.066,238
"Jul 21, 03:00 pm",31.206,0,0.984581,3.476,248
"Jul 21, 04:00 pm",32.118,991.444,0.984215,3.85,242
"Jul 21, 05:00 pm",33.046,1788.94,0.983979,4.239,256
"Jul 21, 06:00 pm",33.723,1332.43,0.983637,4.041,259
"Jul 21, 07:00 pm",34.195,1547.32,0.983202,4.159,260
"Jul 21, 08:00 pm",34.49,2029.41,0.982793,4.355,260
"Jul 21, 09:00 pm",34.549,1174.89,0.982498,3.964,260
"Jul 21, 10:00 pm",34.306,1491.28,0.982317,4.132,260
"Jul 21, 11:00 pm",33.243,2157.52,0.982332,4.447,268
"Jul 22, 12:00 am",29.631,926.059,0.982442,3.843,276
"Jul 22, 01:00 am",27.586,0,0.982615,2.355,283
"Jul 22, 02:00 am",26.623,0,0.982692,1.382,280
"Jul 22, 03:00 am",25.574,0,0.982608,1.232,234
"Jul 22, 04:00 am",24.634,0,0.9825,1.658,207
"Jul 22, 05:00 am",23.941,0,0.982519,2.063,184
"Jul 22, 06:00 am",23.281,0,0.982737,2.308,185
"Jul 22, 07:00 am",22.809,0,0.982914,2.327,194
"Jul 22, 08:00 am",22.384,0,0.983123,2.409,199
"Jul 22, 09:00 am",21.959,0,0.98332,2.54,214
"Jul 22, 10:00 am",21.743,0,0.983683,2.354,219
"Jul 22, 11:00 am",22.814,0,0.983939,2.014,222
"Jul 22, 12:00 pm",25.415,0,0.984184,1.295,232
"Jul 22, 01:00 pm",27.911,0,0.984297,0.829,257
"Jul 22, 02:00 pm",29.908,0,0.984116,1.456,251
"Jul 22, 03:00 pm",31.6,0,0.983903,2.381,281
"Jul 22, 04:00 pm",32.832,0,0.98346,2.501,270
"Jul 22, 05:00 pm",33.697,0,0.983029,3.442,260
"Jul 22, 06:00 pm",34.294,0,0.982638,3.094,263
"Jul 22, 07:00 pm",34.752,0,0.982068,3.121,265
"Jul 22, 08:00 pm",34.948,0,0.981502,2.956,255
"Jul 22, 09:00 pm",34.937,0,0.981046,2.844,263
"Jul 22, 10:00 pm",34.707,0,0.980808,2.891,272
"Jul 22, 11:00 pm",33.708,0,0.980787,3.292,268
"Jul 23, 12:00 am",29.918,0,0.980871,3.248,252
"Jul 23, 01:00 am",28.138,0,0.980933,1.893,267
"Jul 23, 02:00 am",26.87,0,0.981244,1.372,240
"Jul 23, 03:00 am",25.659,0,0.981275,2.091,202
"Jul 23, 04:00 am",24.876,0,0.981223,2.256,181
"Jul 23, 05:00 am",24.445,0,0.981312,1.122,191
"Jul 23, 06:00 am",23.901,0,0.98151,1.102,171
"Jul 23, 07:00 am",23.276,0,0.981705,1.118,201
"Jul 23, 08:00 am",22.717,0,0.982024,1.13,238
"Jul 23, 09:00 am",22.329,0,0.982276,1.275,255
"Jul 23, 10:00 am",21.98,0,0.982618,1.145,292
"Jul 23, 11:00 am",22.829,0,0.983012,0.695,293
"Jul 23, 12:00 pm",25.57,0,0.983323,0.739,16
"Jul 23, 01:00 pm",28.085,0,0.983337,0.538,81
"Jul 23, 02:00 pm",30.363,0,0.983327,0.823,333
"Jul 23, 03:00 pm",32.145,0,0.983187,1.869,297
"Jul 23, 04:00 pm",33.042,0,0.98278,1.892,294
"Jul 23, 05:00 pm",33.789,0,0.982434,1.302,299
"Jul 23, 06:00 pm",34.56,0,0.982022,1.833,261
"Jul 23, 07:00 pm",35.109,0,0.981582,2.226,254
"Jul 23, 08:00 pm",35.352,0,0.981064,2.16,237
"Jul 23, 09:00 pm",35.373,0,0.980525,1.959,253
"Jul 23, 10:00 pm",35.339,0,0.980278,0.818,305
"Jul 23, 11:00 pm",34.851,0,0.980013,0.841,120
"Jul 24, 12:00 am",31.552,0,0.979964,0.58,153
"Jul 24, 01:00 am",30.514,0,0.980247,1.035,287
"Jul 24, 02:00 am",28.862,0,0.980557,2.39,288
"Jul 24, 03:00 am",27.867,0,0.980522,2.204,281
"Jul 24, 04:00 am",27.278,0,0.980382,2.56,292
"Jul 24, 05:00 am",26.808,0,0.980467,3.146,307
"Jul 24, 06:00 am",26.234,0,0.980629,3.457,335
"Jul 24, 07:00 am",25.709,0,0.980851,2.879,4
"Jul 24, 08:00 am",25.084,0,0.980991,2.407,36
"Jul 24, 09:00 am",24.632,0,0.981378,2.543,35
"Jul 24, 10:00 am",24.249,0,0.981759,2.928,35
"Jul 24, 11:00 am",24.971,0,0.982047,2.742,36
"Jul 24, 12:00 pm",28.045,0,0.982215,2.699,61
"Jul 24, 01:00 pm",30.19,0,0.982317,2.208,83
"Jul 24, 02:00 pm",31.985,0,0.982273,1.954,58
"Jul 24, 03:00 pm",33.07,0,0.982281,1.115,14
"Jul 24, 04:00 pm",33.832,0,0.981861,1.188,285
"Jul 24, 05:00 pm",34.325,0,0.981644,1.517,292
"Jul 24, 06:00 pm",34.738,0,0.98115,1.817,247
"Jul 24, 07:00 pm",35.322,0,0.980519,1.654,253
"Jul 24, 08:00 pm",35.777,0,0.979899,2.174,275
"Jul 24, 09:00 pm",35.945,0,0.979275,1.818,291
"Jul 24, 10:00 pm",32.362,4843.51,0.979829,5.247,215
"Jul 24, 11:00 pm",25.557,54518.2,0.981173,14.735,270
"Jul 25, 12:00 am",24.899,54183.9,0.981507,11.956,329
"Jul 25, 01:00 am",24.597,48189,0.980593,10.679,2
"Jul 25, 02:00 am",24.426,22326.2,0.980207,7.972,39
"Jul 25, 03:00 am",23.706,6078.96,0.979999,5.546,83
"Jul 25, 04:00 am",23.091,1794.91,0.980068,4.256,155
"Jul 25, 05:00 am",23.117,0,0.980563,3.283,202
"Jul 25, 06:00 am",23.015,8578.63,0.981026,5.963,230
"Jul 25, 07:00 am",22.802,1574.42,0.981223,4.129,245
"Jul 25, 08:00 am",22.687,0,0.981331,2.866,227
"Jul 25, 09:00 am",22.428,0,0.981594,1.962,231
"Jul 25, 10:00 am",22.33,0,0.981709,2.776,209
"Jul 25, 11:00 am",23.266,0,0.981806,3.297,189
"Jul 25, 12:00 pm",25.551,0,0.981786,2.701,184
"Jul 25, 01:00 pm",27.874,0,0.981772,1.901,198
"Jul 25, 02:00 pm",30.216,0,0.981729,2.501,205
"Jul 25, 03:00 pm",32.288,0,0.981548,3.46,206
"Jul 25, 04:00 pm",33.407,0,0.981182,3.423,222
"Jul 25, 05:00 pm",34.172,1238.36,0.980808,3.983,218
"Jul 25, 06:00 pm",34.721,0,0.980313,3.32,221
"Jul 25, 07:00 pm",35.229,658.611,0.979896,3.676,225
"Jul 25, 08:00 pm",35.422,4634.86,0.979525,5.211,214
"Jul 25, 09:00 pm",35.512,3004.35,0.979141,4.721,217
"Jul 25, 10:00 pm",35.121,11433.9,0.979158,6.596,196
"Jul 25, 11:00 pm",28.469,25669.2,0.979848,8.392,237
"Jul 26, 12:00 am",26.938,0,0.979133,3.113,275
"Jul 26, 01:00 am",26.743,0,0.980236,3.113,208
"Jul 26, 02:00 am",26.204,4264.84,0.980422,5.045,222
"Jul 26, 03:00 am",25.178,0,0.980185,2.951,225
"Jul 26, 04:00 am",25.038,0,0.98029,2.155,237
"Jul 26, 05:00 am",24.744,0,0.98051,1.556,230
"Jul 26, 06:00 am",24.278,0,0.980729,2.345,218
"Jul 26, 07:00 am",23.784,0,0.981076,2.346,222
"Jul 26, 08:00 am",23.347,0,0.981445,1.885,248
"Jul 26, 09:00 am",22.919,0,0.981313,2.261,198
"Jul 26, 10:00 am",22.522,0,0.981578,2.2,201
"Jul 26, 11:00 am",23.278,0,0.981697,2.75,203
"Jul 26, 12:00 pm",25.468,0,0.981874,1.478,207
"Jul 26, 01:00 pm",27.526,0,0.981987,1.514,226
"Jul 26, 02:00 pm",29.007,0,0.982006,1.076,254
"Jul 26, 03:00 pm",30.564,0,0.981673,1.603,247
"Jul 26, 04:00 pm",31.706,0,0.981071,2.398,251
"Jul 26, 05:00 pm",32.507,0,0.980572,3.058,248
"Jul 26, 06:00 pm",33.86,632.237,0.979987,3.663,255
"Jul 26, 07:00 pm",34.478,2511.09,0.97926,4.533,240
"Jul 26, 08:00 pm",34.102,8330.04,0.978992,5.975,290
"Jul 26, 09:00 pm",26.788,54230.4,0.980016,12.898,26
"Jul 26, 10:00 pm",24.006,32534.1,0.981339,9.05,53
"Jul 26, 11:00 pm",24.508,4419.07,0.980831,5.083,107
"Jul 27, 12:00 am",24.516,0,0.980182,2.741,113
"Jul 27, 01:00 am",23.776,0,0.980467,1.315,12
"Jul 27, 02:00 am",23.356,1183.46,0.98097,3.931,73
"Jul 27, 03:00 am",23.138,1703.44,0.981127,4.18,107
"Jul 27, 04:00 am",22.502,0,0.981177,3.217,156
"Jul 27, 05:00 am",22.154,0,0.981376,3.132,156
"Jul 27, 06:00 am",21.85,0,0.981933,2.902,183
"Jul 27, 07:00 am",21.521,0,0.982136,3.297,170
"Jul 27, 08:00 am",21.317,718.102,0.982101,3.688,171
"Jul 27, 09:00 am",21.126,0,0.982165,3.07,169
"Jul 27, 10:00 am",20.722,0,0.982425,3.092,173
"Jul 27, 11:00 am",21.37,0,0.982449,3.331,179
"Jul 27, 12:00 pm",23.656,0,0.982562,2.31,161
"Jul 27, 01:00 pm",25.724,0,0.982979,1.148,198
"Jul 27, 02:00 pm",27.61,0,0.983018,1.863,213
"Jul 27, 03:00 pm",29.426,0,0.98296,2.051,228
"Jul 27, 04:00 pm",30.829,0,0.982775,2.759,248
"Jul 27, 05:00 pm",31.882,0,0.982626,2.899,258
"Jul 27, 06:00 pm",32.707,0,0.98214,2.9,255
"Jul 27, 07:00 pm",33.412,0,0.98158,3.246,257
"Jul 27, 08:00 pm",33.752,0,0.980901,3.195,262
"Jul 27, 09:00 pm",33.813,0,0.980437,3.439,267
"Jul 27, 10:00 pm",33.61,0,0.980147,3.444,266
"Jul 27, 11:00 pm",32.71,0,0.980311,3.4,270
"Jul 28, 12:00 am",29.434,0,0.980805,2.918,249
"Jul 28, 01:00 am",28.048,0,0.981068,2.618,250
"Jul 28, 02:00 am",27.389,23249.5,0.981494,8.099,232
"Jul 28, 03:00 am",25.786,22250.6,0.98165,7.963,229
"Jul 28, 04:00 am",24.451,17995.7,0.981651,7.4,243
"Jul 28, 05:00 am",23.795,7579.53,0.981734,5.751,249
"Jul 28, 06:00 am",23.361,2531.51,0.981863,4.515,259
"Jul 28, 07:00 am",22.931,3898.1,0.982135,4.941,251
"Jul 28, 08:00 am",22.484,3020.99,0.982223,4.741,266
"Jul 28, 09:00 am",22.434,2436.52,0.982592,4.486,279
"Jul 28, 10:00 am",22.204,1398.04,0.983348,4.092,268
"Jul 28, 11:00 am",22.848,1573.2,0.983641,4.16,263
"Jul 28, 12:00 pm",24.716,0,0.984076,3.056,260
"Jul 28, 01:00 pm",26.431,1120.44,0.984187,3.945,265
"Jul 28, 02:00 pm",27.581,2644.3,0.984208,4.616,274
"Jul 28, 03:00 pm",28.794,0,0.98407,3.591,267
"Jul 28, 04:00 pm",29.992,892.294,0.983778,3.793,255
"Jul 28, 05:00 pm",31.063,1207.26,0.983495,3.957,251
"Jul 28, 06:00 pm",31.982,1547.65,0.983037,4.154,260
"Jul 28, 07:00 pm",32.721,2772.93,0.982592,4.675,264
"Jul 28, 08:00 pm",33.029,2595.33,0.982124,4.563,257
"Jul 28, 09:00 pm",33.096,3284.99,0.981737,4.809,258
"Jul 28, 10:00 pm",32.354,9223.76,0.981535,6.11,244
"Jul 28, 11:00 pm",30.648,8100.24,0.981492,5.907,220
"Jul 29, 12:00 am",28.099,7019.33,0.981559,5.667,234
"Jul 29, 01:00 am",26.444,1070.63,0.981946,3.879,248
"Jul 29, 02:00 am",25.942,1392,0.982055,4.04,226
"Jul 29, 03:00 am",25.65,0,0.982004,3.55,228
"Jul 29, 04:00 am",25.058,1427.84,0.981794,4.059,247
"Jul 29, 05:00 am",24.483,213.852,0.981885,3.617,274
"Jul 29, 06:00 am",24.324,1764.06,0.981976,4.211,303
"Jul 29, 07:00 am",24.022,2456.16,0.981921,4.472,309
"Jul 29, 08:00 am",23.608,7562.76,0.982019,5.75,305
"Jul 29, 09:00 am",22.939,8081.42,0.982209,5.86,302
"Jul 29, 10:00 am",22.565,10005.7,0.982399,6.185,302
"Jul 29, 11:00 am",23.345,8010,0.982623,5.84,311
"Jul 29, 12:00 pm",25.748,853.191,0.982531,3.763,317
"Jul 29, 01:00 pm",27.805,0,0.982646,3.359,307
"Jul 29, 02:00 pm",29.561,0,0.982455,3.142,313
"Jul 29, 03:00 pm",30.878,0,0.98213,2.859,316
"Jul 29, 04:00 pm",31.983,0,0.981598,3.054,303
"Jul 29, 05:00 pm",32.263,0,0.981244,3.1,306
"Jul 29, 06:00 pm",33.109,0,0.980671,3.336,288
"Jul 29, 07:00 pm",32.292,0,0.980159,2.333,74
"Jul 29, 08:00 pm",33.82,0,0.979509,2.548,291
"Jul 29, 09:00 pm",30.726,1266.5,0.97971,3.989,3
"Jul 29, 10:00 pm",27.691,0,0.979936,1.959,194
"Jul 29, 11:00 pm",27.873,351.565,0.979879,3.615,226
"Jul 30, 12:00 am",26.721,0,0.97944,3.527,253
"Jul 30, 01:00 am",25.722,3425.76,0.979608,4.822,256
"Jul 30, 02:00 am",25.687,16653.6,0.979894,7.232,314
"Jul 30, 03:00 am",24.756,6183.14,0.97897,5.568,336
"Jul 30, 04:00 am",24.422,4988.45,0.978517,5.224,354
"Jul 30, 05:00 am",24.054,2246.85,0.978372,4.435,331
"Jul 30, 06:00 am",23.654,4605.93,0.978402,5.162,327
"Jul 30, 07:00 am",23.133,2633.43,0.978362,4.531,349
"Jul 30, 08:00 am",22.706,4192.1,0.978312,5.011,351
"Jul 30, 09:00 am",22.403,4107.7,0.97869,4.991,347
"Jul 30, 10:00 am",22.213,831.471,0.978983,3.749,354
"Jul 30, 11:00 am",22.792,0,0.979106,3.175,344
"Jul 30, 12:00 pm",24.852,0,0.979022,2.497,359
"Jul 30, 01:00 pm",27,0,0.979214,1.506,352
"Jul 30, 02:00 pm",28.884,0,0.979001,1.705,345
"Jul 30, 03:00 pm",30.458,0,0.978659,2.046,344
"Jul 30, 04:00 pm",31.448,0,0.978164,2.558,338
"Jul 30, 05:00 pm",32.524,0,0.977733,3.401,336
"Jul 30, 06:00 pm",33.284,0,0.977211,3.35,332
"Jul 30, 07:00 pm",33.788,0,0.976619,3.185,325
"Jul 30, 08:00 pm",33.236,7887.82,0.976184,5.955,333
"Jul 30, 09:00 pm",27.491,7926.76,0.976875,5.861,287
"Jul 30, 10:00 pm",28.66,2529.97,0.976995,4.516,357
"Jul 30, 11:00 pm",27.985,1552.67,0.976611,4.168,332
"Jul 31, 12:00 am",26.323,817.973,0.976309,3.748,347
"Jul 31, 01:00 am",24.957,0,0.976271,1.86,348
"Jul 31, 02:00 am",24.449,0,0.976051,2.684,309
"Jul 31, 03:00 am",23.969,0,0.975763,3.441,305
"Jul 31, 04:00 am",23.622,836.141,0.975442,3.756,313
"Jul 31, 05:00 am",23.1,0,0.975602,2.185,344
"Jul 31, 06:00 am",23.015,0,0.975645,1.983,359
"Jul 31, 07:00 am",22.794,0,0.975743,0.748,352
"Jul 31, 08:00 am",22.361,0,0.975835,0.897,321
"Jul 31, 09:00 am",22.139,0,0.975941,1.347,315
"Jul 31, 10:00 am",21.859,0,0.976068,1.116,287
"Jul 31, 11:00 am",22.523,0,0.976135,1.23,280
"Jul 31, 12:00 pm",24.973,0,0.976234,1.037,278
"Jul 31, 01:00 pm",27.045,0,0.976127,1.356,265
"Jul 31, 02:00 pm",29.096,0,0.976087,1.906,271
"Jul 31, 03:00 pm",30.963,0,0.975673,2.465,278
"Jul 31, 04:00 pm",32.413,0,0.975232,3.248,275
"Jul 31, 05:00 pm",33.496,885.458,0.974901,3.836,275
"Jul 31, 06:00 pm",34.257,3265.13,0.9743,4.871,267
"Jul 31, 07:00 pm",34.303,5929.92,0.973689,5.5,291
"Jul 31, 08:00 pm",29.725,1397.37,0.973498,4.065,343
"Jul 31, 09:00 pm",33.528,0,0.972901,1.635,325
"Jul 31, 10:00 pm",32.897,0,0.972671,2.192,316
"Jul 31, 11:00 pm",30.283,0,0.972948,3.273,18
"Aug 1, 12:00 am",27.202,3251.94,0.97352,4.768,221
"Aug 1, 01:00 am",25.775,1328.94,0.973739,4.012,223
"Aug 1, 02:00 am",25.152,2110.48,0.973919,4.347,219
"Aug 1, 03:00 am",24.688,588.02,0.974056,3.629,188
"Aug 1, 04:00 am",24.694,5242.11,0.974099,5.299,138
"Aug 1, 05:00 am",24.22,2767.9,0.97409,4.623,160
"Aug 1, 06:00 am",23.717,0,0.974182,2.937,203
"Aug 1, 07:00 am",23.312,0,0.97455,2.882,200
"Aug 1, 08:00 am",23.139,0,0.97465,2.788,220
"Aug 1, 09:00 am",23.603,0,0.974855,2.874,242
"Aug 1, 10:00 am",22.753,0,0.975295,3.039,224
"Aug 1, 11:00 am",23.429,0,0.975439,2.827,229
"Aug 1, 12:00 pm",25.743,0,0.975808,1.903,236
"Aug 1, 01:00 pm",28.066,0,0.97578,1.295,279
"Aug 1, 02:00 pm",29.641,0,0.975805,1.727,285
"Aug 1, 03:00 pm",31.047,0,0.97576,1.761,255
"Aug 1, 04:00 pm",32.513,0,0.975599,2.586,257
"Aug 1, 05:00 pm",33.611,0,0.975425,3.406,266
"Aug 1, 06:00 pm",34.45,872.542,0.975119,3.838,273
"Aug 1, 07:00 pm",34.901,1554.92,0.974654,4.205,274
"Aug 1, 08:00 pm",35.18,1666.79,0.974382,4.235,277
"Aug 1, 09:00 pm",34.515,9359.94,0.97444,6.151,295
"Aug 1, 10:00 pm",34.109,0,0.974754,3.277,336
"Aug 1, 11:00 pm",32.195,3941.96,0.974909,4.983,351
"Aug 2, 12:00 am",29.524,1273.89,0.975248,3.993,345
"Aug 2, 01:00 am",28.368,426.582,0.97561,3.621,6
"Aug 2, 02:00 am",27.819,0,0.976151,1.782,90
"Aug 2, 03:00 am",26.804,0,0.976264,1.038,105
"Aug 2, 04:00 am",26.374,0,0.976026,0.746,55
"Aug 2, 05:00 am",25.893,0,0.976326,0.426,28
"Aug 2, 06:00 am",25.458,0,0.976686,1.266,351
"Aug 2, 07:00 am",24.981,0,0.977076,1,66
"Aug 2, 08:00 am",24.424,0,0.977519,1.655,112
"Aug 2, 09:00 am",24.037,0,0.97781,2.508,124
"Aug 2, 10:00 am",23.83,0,0.978286,3.116,127
