,"Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","Diffuse irradiance | (W/m2)","DC array power | (W)","AC inverter power | (W)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Jan 22, 02:00 pm",17.8,41.5698,768,94,2275.55,2190.31,494,34.5056,697.821,2.19031,1,1,693.043,3.1
"Jan 22, 03:00 pm",18.3,51.7209,688,83,1757.85,1690.81,365,31.0833,536.724,1.69081,1,1,526.506,3.1
"Jan 22, 04:00 pm",17.2,63.6758,505,71,1033.07,987.677,201,24.4899,317.06,0.987677,1,1,299.855,3.1
"Jan 22, 05:00 pm",15.6,75.839,32,28,136.893,112.088,32,15.666,40.0723,0.112088,1,3,38.1555,3.6
"Jan 22, 06:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.6
"Jan 22, 07:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,3.1
"Jan 22, 08:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,2.1
"Jan 22, 09:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,3.1
"Jan 22, 10:00 pm",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,0
"Jan 22, 11:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,3.1
"Jan 23, 12:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,1.5
"Jan 23, 01:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,0
"Jan 23, 02:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,0
"Jan 23, 03:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,0
"Jan 23, 04:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,0
"Jan 23, 05:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,0
"Jan 23, 06:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,0
"Jan 23, 07:00 am",9.4,80.0033,2,8,29.7109,6.91014,8,7.25057,8.10595,0.00691014,1,2,7.97889,1
"Jan 23, 08:00 am",10,71.8603,45,70,330.521,301.848,77,10.5146,92.3823,0.301848,1,1,90.0364,2.1
"Jan 23, 09:00 am",12.8,59.2216,700,49,1417.48,1361.17,274,22.6354,425.831,1.36117,1,1,407.889,2.1
"Jan 23, 10:00 am",15,47.7338,719,93,2014.06,1938.3,423,29.5855,606.639,1.9383,1,1,598.906,2.6
"Jan 23, 11:00 am",16.7,38.5167,855,104,2560.99,2464.73,576,39.6999,804.391,2.46473,1,1,800.432,1.5
"Jan 23, 12:00 pm",17.8,33.5198,882,95,2752.95,2648.89,620,39.3736,861.431,2.64889,1,1,859.013,2.6
"Jan 23, 01:00 pm",18.9,34.6273,901,74,2664,2563.59,602,39.9981,836.669,2.56359,1,1,833.881,2.6
"Jan 23, 02:00 pm",18.9,41.3513,888,67,2413.81,2323.32,532,37.9787,753.344,2.32332,1,1,747.932,2.6
"Jan 23, 03:00 pm",19.4,51.5329,831,56,1889.29,1817.84,399,35.4247,590.177,1.81784,1,1,578.016,2.1
"Jan 23, 04:00 pm",19.4,63.5159,704,40,1158.46,1109.65,225,29.2531,367.687,1.10965,1,1,343.933,2.1
"Jan 23, 05:00 pm",17.2,75.8107,348,21,342.86,313.93,56,19.7546,118.186,0.31393,1,3,97.3562,2.1
"Jan 23, 06:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,1.5
"Jan 23, 07:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.1
"Jan 23, 08:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.6
"Jan 23, 09:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,3.1
"Jan 23, 10:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,2.6
"Jan 23, 11:00 pm",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,2.6
"Jan 24, 12:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,0
"Jan 24, 01:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,1.5
"Jan 24, 02:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,0
"Jan 24, 03:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,3.1
"Jan 24, 04:00 am",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,3.6
"Jan 24, 05:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,2.6
"Jan 24, 06:00 am",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,4.1
"Jan 24, 07:00 am",11.7,80.0442,0,2,7.12774,0,2,10.2852,1.93969,0,1,2,1.93969,3.1
"Jan 24, 08:00 am",12.8,71.8286,14,37,147.55,122.541,39,12.0534,41.1966,0.122541,1,1,40.4677,3.1
"Jan 24, 09:00 am",12.8,59.1564,2,78,275.792,248.245,79,13.002,76.0104,0.248245,1,1,75.9593,3.6
"Jan 24, 10:00 am",12.8,47.6244,1,120,422.541,391.919,121,14.1762,116.999,0.391919,1,1,116.989,2.6
"Jan 24, 11:00 am",12.8,38.3498,3,141,501.72,469.362,143,14.5459,139.154,0.469362,1,1,139.141,4.1
"Jan 24, 12:00 pm",14.4,33.2963,8,147,532.95,499.893,153,16.6649,149.24,0.499893,1,1,149.218,3.1
"Jan 24, 01:00 pm",15,34.3848,0,159,551.889,518.403,159,17.1883,154.887,0.518403,1,1,154.887,4.1
"Jan 24, 02:00 pm",15.6,41.13,2,137,478.757,446.908,139,17.3612,134.48,0.446908,1,1,134.468,4.1
"Jan 24, 03:00 pm",16.1,51.3438,1,115,400.008,369.869,115,17.41,112.389,0.369869,1,1,112.375,3.6
"Jan 24, 04:00 pm",16.1,63.3562,0,71,245.465,218.531,71,16.3971,68.6434,0.218531,1,1,68.6434,2.6
"Jan 24, 05:00 pm",16.7,75.7839,1,19,65.2598,41.8053,19,15.6973,18.252,0.0418053,1,3,18.1922,3.6
"Jan 24, 06:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,3.6
"Jan 24, 07:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,5.2
"Jan 24, 08:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,5.2
"Jan 24, 09:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,5.2
"Jan 24, 10:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,5.7
"Jan 24, 11:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.6
"Jan 25, 12:00 am",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,4.1
"Jan 25, 01:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,5.2
"Jan 25, 02:00 am",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,4.6
"Jan 25, 03:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,4.1
"Jan 25, 04:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,8.8
"Jan 25, 05:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,7.2
"Jan 25, 06:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,6.2
"Jan 25, 07:00 am",6.7,80.0842,1,4,14.9611,0,4,5.53118,4.05159,0,1,2,3.98806,6.2
"Jan 25, 08:00 am",6.1,71.7924,13,55,220.288,193.857,57,5.87123,59.4824,0.193857,1,1,58.8066,6.2
"Jan 25, 09:00 am",6.1,59.0864,33,116,507.461,474.975,126,7.28953,137.14,0.474975,1,1,136.302,6.2
"Jan 25, 10:00 am",6.1,47.5096,50,180,816.524,776.736,203,9.00038,221.483,0.776736,1,1,220.955,5.7
"Jan 25, 11:00 am",6.1,38.177,13,273,1057.77,1011.72,280,10.5895,288.298,1.01172,1,1,288.24,5.2
"Jan 25, 12:00 pm",5.6,33.0668,61,338,1523.71,1464.15,375,11.6244,417.265,1.46415,1,1,417.106,6.7
"Jan 25, 01:00 pm",5.6,34.1375,1,228,842.978,802.527,229,9.01422,228.131,0.802527,1,1,228.128,5.7
"Jan 25, 02:00 pm",6.1,40.9062,10,181,690.964,654.241,186,8.13839,186.335,0.654241,1,1,186.276,7.2
"Jan 25, 03:00 pm",7.2,51.1539,432,163,1663.25,1599.29,345,13.9266,466.125,1.59929,1,1,459.988,6.7
"Jan 25, 04:00 pm",6.7,63.1966,357,103,1008.08,963.36,199,10.778,286.742,0.96336,1,1,274.928,6.7
"Jan 25, 05:00 pm",5,75.7586,91,37,241.416,214.563,46,5.37552,69.7484,0.214563,1,3,64.3092,5.2
"Jan 25, 06:00 pm",3.9,0,0,0,0,0,0,3.9,0,0,1,0,0,2.1
"Jan 25, 07:00 pm",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,3.1
"Jan 25, 08:00 pm",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,2.1
"Jan 25, 09:00 pm",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,3.6
"Jan 25, 10:00 pm",3.3,0,0,0,0,0,0,3.3,0,0,1,0,0,4.1
"Jan 25, 11:00 pm",2.8,0,0,0,0,0,0,2.8,0,0,1,0,0,3.6
"Jan 26, 12:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,3.6
"Jan 26, 01:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,4.1
"Jan 26, 02:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,4.6
"Jan 26, 03:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,3.6
"Jan 26, 04:00 am",2.2,0,0,0,0,0,0,2.2,0,0,1,0,0,4.1
"Jan 26, 05:00 am",1.7,0,0,0,0,0,0,1.7,0,0,1,0,0,5.2
"Jan 26, 06:00 am",1.1,0,0,0,0,0,0,1.1,0,0,1,0,0,4.6
"Jan 26, 07:00 am",1.1,80.1233,76,7,57.6036,34.2908,16,0.00047851,19.8251,0.0342908,1,2,14.9978,4.1
"Jan 26, 08:00 am",2.8,71.7517,588,27,718.123,680.748,119,5.88388,222.229,0.680748,1,1,191.716,4.6
"Jan 26, 09:00 am",5.6,59.0115,807,42,1633.37,1570.37,306,13.6061,471.473,1.57037,1,1,451.08,5.2
"Jan 26, 10:00 am",8.3,47.3896,910,54,2373.94,2284.97,478,20.8312,686.94,2.28497,1,1,677.433,5.2
"Jan 26, 11:00 am",11.1,37.9984,956,62,2828.8,2721.57,598,26.7764,834.182,2.72157,1,1,829.979,5.2
"Jan 26, 12:00 pm",13.9,32.8314,974,66,2991.13,2876.96,655,32.4241,904.22,2.87696,1,1,901.746,4.6
"Jan 26, 01:00 pm",15,33.8857,966,65,2962.11,2849.19,641,30.2672,886.471,2.84919,1,1,883.714,6.2
