,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Aug 8, 10:00 am",1138.24,16.1,23.3087,35,1187.88,312,341,24.0144,344.05,1.13824,1,1,344.023,3.4
"Aug 8, 11:00 am",1410.45,16.5,10.407,35,1468.31,390,421,25.6374,428.495,1.41045,1,1,428.493,3.4
"Aug 8, 12:00 pm",2488.04,16.9,8.60411,309,2585.27,438,713,30.4209,771.875,2.48804,1,1,771.861,5.6
"Aug 8, 01:00 pm",762.448,17.3,20.9952,24,801.872,209,229,21.3989,229.438,0.762448,1,1,229.425,5.6
"Aug 8, 02:00 pm",2537.28,16.9,34.7266,629,2636.58,249,726,30.4571,789.283,2.53728,1,1,787.316,5.6
"Aug 8, 03:00 pm",1893.12,16.4,48.6113,546,1967.25,207,551,25.7898,580.827,1.89312,1,1,574.511,6.7
"Aug 8, 04:00 pm",1057.29,15.9,62.4548,254,1104.62,206,326,20.7964,323.196,1.05729,1,1,315.166,6.7
"Aug 8, 05:00 pm",381.784,14.9,76.1486,57,412.183,111,128,16.1069,118.557,0.381784,1,1,115.115,6.7
"Aug 8, 06:00 pm",18.228,13.9,89.5341,0,41.2396,12,12,12.9583,11.3561,0.018228,1,1,11.3561,5.1
"Aug 8, 07:00 pm",0,12.9,96.3046,0,0,0,0,12.9,0,0,1,3,0,5.1
"Aug 8, 08:00 pm",0,12.8,0,0,0,0,0,12.8,0,0,1,0,0,5.1
"Aug 8, 09:00 pm",0,12.8,0,0,0,0,0,12.8,0,0,1,0,0,4.5
"Aug 8, 10:00 pm",0,12.7,0,0,0,0,0,12.7,0,0,1,0,0,4.5
"Aug 8, 11:00 pm",0,12.6,0,0,0,0,0,12.6,0,0,1,0,0,4.5
"Aug 9, 12:00 am",0,12.5,0,0,0,0,0,12.5,0,0,1,0,0,5.5
"Aug 9, 01:00 am",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,5.5
"Aug 9, 02:00 am",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,5.5
"Aug 9, 03:00 am",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,7.1
"Aug 9, 04:00 am",0,12.4,0,0,0,0,0,12.4,0,0,1,0,0,7.1
"Aug 9, 05:00 am",29.2075,12.7,91.0712,7,52.4248,15,16,11.8232,14.3636,0.0292075,1,2,14.3636,7.1
