,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Aug 3, 01:00 pm",2734.09,32.5,16.1237,758,2841.87,204,875,54.5793,960.55,2.73409,1,1,960.365,3.3
"Aug 3, 02:00 pm",1737.15,33.2,30.052,263,1805.79,358,571,51.4273,600.398,1.73715,1,1,599.914,1.5
"Aug 3, 03:00 pm",1634.52,34,44.0422,370,1699.66,290,546,50.1029,563.561,1.63452,1,1,560.673,1.5
"Aug 3, 04:00 pm",1308.92,33.4,57.9638,495,1363.63,185,452,46.4775,452.943,1.30892,1,1,441.299,1.5
"Aug 3, 05:00 pm",510.727,32.7,71.738,92,544.035,151,184,36.5835,172.174,0.510727,1,1,167.403,3.1
"Aug 3, 06:00 pm",187.167,32.1,85.2541,178,213.463,66,98,33.0312,73.5953,0.187167,1,1,64.5441,3.1
"Aug 3, 07:00 pm",0,31.2,94.6693,45,8.89243,4,6,30.2078,2.6522,0,1,3,2.6522,3.1
"Aug 3, 08:00 pm",0,30.3,0,0,0,0,0,30.3,0,0,1,0,0,3.8
"Aug 3, 09:00 pm",0,29.3,0,0,0,0,0,29.3,0,0,1,0,0,3.8
"Aug 3, 10:00 pm",0,28.2,0,0,0,0,0,28.2,0,0,1,0,0,3.8
"Aug 3, 11:00 pm",0,27.1,0,0,0,0,0,27.1,0,0,1,0,0,6.3
"Aug 4, 12:00 am",0,25.9,0,0,0,0,0,25.9,0,0,1,0,0,6.3
"Aug 4, 01:00 am",0,25.2,0,0,0,0,0,25.2,0,0,1,0,0,6.3
"Aug 4, 02:00 am",0,24.5,0,0,0,0,0,24.5,0,0,1,0,0,6.8
"Aug 4, 03:00 am",0,23.8,0,0,0,0,0,23.8,0,0,1,0,0,6.8
"Aug 4, 04:00 am",0,23.3,0,0,0,0,0,23.3,0,0,1,0,0,6.8
"Aug 4, 05:00 am",0,22.8,93.2015,0,19.8087,6,6,21.6244,5.67341,0,1,2,5.67341,4.5
"Aug 4, 06:00 am",179.981,22.3,82.3272,0,206.132,63,63,22.2327,59.2049,0.179981,1,1,59.2049,4.5
"Aug 4, 07:00 am",710.871,23.4,68.7384,164,748.994,174,240,26.9414,227.329,0.710871,1,1,219.929,4.5
"Aug 4, 08:00 am",1262,24.4,54.9229,254,1315.29,253,398,32.0836,400.675,1.262,1,1,395.867,4.2
"Aug 4, 09:00 am",2184.99,25.5,40.9792,656,2270.04,201,672,40.0416,714.58,2.18499,1,1,710.72,4.2
"Aug 4, 10:00 am",2547.4,27.5,26.9917,684,2647.12,218,784,45.4123,852.782,2.5474,1,1,851.92,4.2
"Aug 4, 11:00 am",2336.36,29.6,13.1582,372,2427.38,381,713,41.3957,765.274,2.33636,1,1,765.223,7.5
"Aug 4, 12:00 pm",2682.98,31.6,4.19023,596,2788.52,271,815,45.365,897.212,2.68298,1,1,897.206,7.5
"Aug 4, 01:00 pm",2856.29,32.3,16.2174,805,2969.53,169,880,47.2409,965.052,2.85629,1,1,964.852,7.5
"Aug 4, 02:00 pm",2559.89,33,30.1293,807,2660.14,138,789,44.8722,855.214,2.55989,1,1,853.715,9
"Aug 4, 03:00 pm",1925.85,33.7,44.1212,589,2001.17,200,605,42.529,639.153,1.92585,1,1,634.522,9
"Aug 4, 04:00 pm",1336.94,33.4,58.0507,508,1392.51,172,444,39.4042,446.597,1.33694,1,1,434.576,9
"Aug 4, 05:00 pm",462.17,33,71.8363,58,494.365,143,164,34.9565,153.919,0.46217,1,1,150.899,8.1
"Aug 4, 06:00 pm",192.33,32.7,85.3666,159,218.73,69,97,33.2164,74.1802,0.19233,1,1,66.1967,8.1
"Aug 4, 07:00 pm",0,31.5,94.6659,38,12.9646,4,6,30.8841,3.87939,0,1,3,3.87939,8.1
"Aug 4, 08:00 pm",0,30.4,0,0,0,0,0,30.4,0,0,1,0,0,9.3
"Aug 4, 09:00 pm",0,29.2,0,0,0,0,0,29.2,0,0,1,0,0,9.3
"Aug 4, 10:00 pm",0,28.4,0,0,0,0,0,28.4,0,0,1,0,0,9.3
"Aug 4, 11:00 pm",0,27.6,0,0,0,0,0,27.6,0,0,1,0,0,8.5
"Aug 5, 12:00 am",0,26.8,0,0,0,0,0,26.8,0,0,1,0,0,8.5
"Aug 5, 01:00 am",0,26.3,0,0,0,0,0,26.3,0,0,1,0,0,8.5
"Aug 5, 02:00 am",0,25.8,0,0,0,0,0,25.8,0,0,1,0,0,9.6
"Aug 5, 03:00 am",0,25.3,0,0,0,0,0,25.3,0,0,1,0,0,9.6
"Aug 5, 04:00 am",0,24.9,0,0,0,0,0,24.9,0,0,1,0,0,9.6
"Aug 5, 05:00 am",0,24.4,93.1772,83,16.3222,7,12,23.6215,4.71842,0,1,2,4.71842,8.4
"Aug 5, 06:00 am",272.842,24,82.3961,244,300.903,76,128,24.6222,102.329,0.272842,1,1,87.3935,8.4
"Aug 5, 07:00 am",952.755,25.5,68.7928,524,997.189,130,339,29.3621,319.915,0.952755,1,1,296.209,8.4
"Aug 5, 08:00 am",1661.09,27.1,54.9663,749,1727.12,101,528,34.9613,541.421,1.66109,1,1,527.195,7.4
"Aug 5, 09:00 am",2246.62,28.6,41.016,778,2334.07,131,688,39.69,734.063,2.24662,1,1,729.47,7.4
"Aug 5, 10:00 am",2559.95,30.3,27.03,697,2660.2,202,777,43.3687,848.013,2.55995,1,1,847.13,7.4
"Aug 5, 11:00 am",2773.47,32,13.2277,770,2883,201,888,55.6161,979.917,2.77347,1,1,979.809,2.7
"Aug 5, 12:00 pm",2114.69,33.7,4.45014,286,2197.03,422,682,52.0449,732.322,2.11469,1,1,732.319,2.7
"Aug 5, 01:00 pm",2435.71,34.6,16.3186,551,2530.77,301,786,55.178,858.177,2.43571,1,1,858.038,2.7
"Aug 5, 02:00 pm",2289.55,35.6,30.212,565,2378.7,288,743,53.1426,798.648,2.28955,1,1,797.588,3.8
