Hours since 00:00 Jan 1,Dry bulb temp (C),Wet bulb temp (C),Dew point temp (C),Relative humidity (%),Wind speed (m/s),Wind direction (deg)
277.5,15,-1.1,-1.14333,33,5.2,230
278.5,17.2,-0.6,-0.529652,30,6.7,290
279.5,16.7,-1.7,-1.90071,28,6.7,300
280.5,15,-1.1,-1.14333,33,4.6,280
281.5,12.8,-1.7,-1.89969,36,2.1,220
282.5,12.8,-2.8,-3.0723,33,3.6,290
283.5,11.7,-2.8,-3.25241,35,5.2,290
284.5,10,-2.8,-3.31611,39,1.5,330
285.5,9.4,-2.8,-3.18535,41,0,0
286.5,8.9,-2.2,-2.38682,45,1.5,290
287.5,7.8,-1.1,-1.17974,53,2.6,270
288.5,6.7,-0.6,-0.74313,59,3.6,270
289.5,7.8,-0.6,-0.673908,55,2.6,280
290.5,7.2,0,-0.0421411,60,3.1,290
291.5,6.1,0,0.0185303,65,2.6,280
292.5,6.7,0,-0.0628432,62,1.5,270
293.5,6.1,0,0.0185303,65,0,0
294.5,6.7,0,-0.0628432,62,1.5,310
295.5,6.7,-0.6,-0.74313,59,0,0
296.5,6.1,-1.1,-1.30718,59,2.1,270
297.5,7.8,-1.1,-1.17974,53,2.6,280
298.5,11.1,-2.8,-3.03969,37,2.1,280
299.5,13.3,-3.3,-3.90959,30,6.2,270
300.5,14.4,-3.9,-4.36131,27,6.2,260
301.5,16.1,-5.6,-6.23262,21,3.6,300
302.5,16.1,-6.1,-6.86762,20,5.2,290
303.5,15.6,-6.1,-6.64857,21,4.6,300
304.5,14.4,-5.6,-6.46866,23,5.2,280
305.5,11.7,-3.9,-4.44611,32,4.6,300
306.5,11.1,-2.8,-3.03969,37,4.6,320
307.5,7.8,-2.8,-3.09434,46,0,0
308.5,10,-2.2,-2.64498,41,0,0
309.5,7.2,-1.7,-1.99476,52,1.5,140
310.5,8.3,-1.7,-2.06355,48,3.1,290
311.5,7.2,-2.2,-2.52434,50,1.5,250
312.5,6.1,-3.3,-3.80842,49,2.1,280
313.5,6.1,-3.3,-3.80842,49,1.5,350
314.5,1.1,-2.8,-3.19294,73,2.1,250
315.5,3.9,-3.3,-3.83644,57,2.1,300
316.5,1.1,-3.3,-3.75374,70,1.5,270
317.5,2.8,-3.3,-3.75162,62,1.5,120
318.5,-0.6,-3.9,-4.29938,76,0,0
319.5,-0.6,-3.3,-3.61675,80,0,0
320.5,1.7,-1.1,-1.20607,81,0,0
321.5,4.4,-1.7,-2.0216,63,2.6,300
322.5,6.7,-1.1,-1.21386,57,3.1,250
323.5,8.3,-1.1,-1.24074,51,3.1,190
324.5,10,-1.7,-2.00223,43,4.6,200
325.5,10.6,-1.1,-1.14608,44,5.7,200
326.5,11.7,-1.1,-1.11465,41,4.1,200
327.5,11.7,-1.7,-1.79454,39,5.2,190
328.5,11.1,-1.1,-1.32714,42,5.2,200
329.5,10,-2.2,-2.64498,41,2.1,200
330.5,7.2,-2.2,-2.52434,50,0,0
331.5,6.7,-2.2,-2.45795,52,0,0
332.5,6.7,-2.2,-2.45795,52,0,0
333.5,6.7,-2.2,-2.45795,52,3.1,240
334.5,5,-2.2,-2.57193,58,2.1,260
335.5,8.9,0,0.0982896,54,5.7,260
336.5,10.6,0.6,0.609287,50,4.1,280
337.5,10,1.1,1.12101,54,7.7,280
338.5,10,0.6,0.597825,52,6.7,300
339.5,8.3,2.2,2.10967,65,6.2,320
340.5,7.2,1.1,1.06422,65,5.2,340
341.5,6.1,-2.2,-2.50646,54,6.7,330
342.5,5.6,-3.9,-4.26864,49,7.7,320
343.5,5.6,-3.9,-4.26864,49,5.7,330
344.5,6.1,-3.9,-4.36241,47,7.2,330
345.5,7.2,-4.4,-4.85003,42,5.7,310
346.5,7.8,-4.4,-4.95327,40,4.1,280
347.5,8.9,-4.4,-4.99772,37,3.6,270
348.5,8.9,-5.6,-6.49711,33,3.1,330
349.5,9.4,-6.7,-7.73428,29,5.2,310
350.5,8.9,-7.8,-8.61686,28,4.6,340
351.5,8.3,-9.4,-10.5679,25,3.1,350
352.5,7.2,-10,-11.0161,26,4.6,360
353.5,5.6,-9.4,-10.604,30,4.6,320
354.5,3.3,-8.3,-9.32384,39,2.6,260
355.5,3.9,-10,-11.2827,32,2.1,270
356.5,3.3,-9.8,-11.0537,34,2.3,280
357.5,2.6,-9.7,-10.9594,36,2.4,290
358.5,2.2,-9.4,-10.6385,38,2.6,300
359.5,1.7,-9.4,-10.4431,40,3.1,300
360.5,2.2,-10.6,-12.0268,34,3.6,330
361.5,0.6,-10,-11.1262,41,3.1,340
362.5,-0.6,-10,-11.0524,45,3.1,340
363.5,0,-11.7,-12.939,37,3.6,350
364.5,-0.6,-12.2,-13.4755,37,2.1,300
365.5,-1.1,-11.1,-12.3659,42,2.6,300
366.5,-0.6,-11.7,-13.1484,38,0,0
367.5,-1.1,-8.9,-9.93864,51,0,0
368.5,0.6,-8.3,-9.40537,47,0,0
369.5,2.2,-10.6,-12.0268,34,0,0
370.5,2.8,-9.4,-10.4371,37,0,0
371.5,5.6,-8.9,-10.1913,31,1.5,20
372.5,8.3,-8.3,-9.13474,28,2.1,40
373.5,9.4,-8.3,-9.13242,26,1.5,60
374.5,8.9,-7.8,-8.61686,28,3.1,80
375.5,10.6,-6.7,-7.62042,27,2.1,100
376.5,10,-6.1,-6.77516,30,1.5,120
377.5,6.7,-6.7,-7.67617,35,2.6,80
378.5,5,-6.7,-7.47141,40,3.1,70
379.5,4.4,-6.7,-7.69364,41,3.6,80
380.5,3.3,-7.8,-8.68672,41,2.1,90
381.5,3.9,-7.8,-8.78512,39,0,0
382.5,1.7,-6.1,-6.84681,53,0,0
383.5,0,-6.7,-7.49256,57,2.1,10
384.5,-1.1,-5,-5.49621,72,1.5,30
385.5,-1.1,-5,-5.49621,72,1.5,30
386.5,-1.1,-5.6,-6.2445,68,2.1,40
387.5,-1.1,-2.8,-2.98384,87,1.5,30
388.5,-0.6,-3.9,-4.29938,76,0,0
389.5,-0.6,-3.3,-3.61675,80,0,0
390.5,-2.2,-3.9,-4.06643,87,2.1,70
391.5,-1.1,-6.1,-6.6334,66,1.5,50
392.5,1.7,-6.1,-6.84681,53,0,0
393.5,2.8,-7.2,-8.2361,44,1.5,180
394.5,4.4,-6.1,-6.78002,44,2.1,190
395.5,5.6,-6.1,-6.93156,40,2.1,190
396.5,7.8,-5,-5.62814,38,0,0
397.5,8.3,-4.4,-4.83881,39,4.1,210
398.5,8.3,-3.9,-4.50392,40,4.6,190
399.5,9.4,-3.9,-4.55254,37,3.1,200
400.5,8.9,-3.9,-4.30126,39,3.6,190
401.5,7.2,-0.6,-0.745749,57,3.6,190
402.5,5,2,2.01377,81,1.5,190
403.5,4.4,2.8,2.74758,89,3.6,190
404.5,3.9,2.8,2.87256,93,2.1,210
405.5,3.9,3.3,3.32097,96,0,0
406.5,3.9,3.3,3.32097,96,1.5,360
407.5,3.9,3.3,3.32097,96,0,0
408.5,3.9,3.9,3.9,100,0,0
409.5,3.9,3.9,3.9,100,0,0
410.5,3.9,3.9,3.9,100,1.5,60
411.5,3.9,3.9,3.9,100,0,0
412.5,3.9,3.9,3.9,100,0,0
413.5,3.9,3.9,3.9,100,2.1,310
414.5,3.9,3.9,3.9,100,0,0
415.5,3.9,3.9,3.9,100,0,0
416.5,4.4,4.4,4.4,100,0,0
417.5,5,5,5,100,1.5,90
418.5,5.6,5.6,5.6,100,1.5,180
419.5,7,7,7,100,2.1,360
420.5,8,8,8,100,2.6,320
421.5,9,9,9,100,1.5,220
422.5,10.6,9.4,9.35407,92,2.1,190
423.5,12.2,7.2,7.09644,71,3.1,280
424.5,11.7,5,4.89075,63,5.2,290
425.5,10,3.9,3.94187,66,5.7,310
426.5,9.4,2.2,2.26073,61,5.2,340
427.5,7.8,2.8,2.87281,71,1.5,360
428.5,7.2,1.1,1.06422,65,4.6,340
429.5,5.6,-0.6,-0.669234,64,4.6,320
430.5,3.9,-1.1,-1.26314,69,2.6,350
431.5,2.8,-2.8,-3.11995,65,3.1,350
432.5,2.2,-4.4,-4.97558,59,3.6,360
433.5,1.1,-6.1,-6.92525,55,4.6,350
434.5,0,-6.7,-7.49256,57,2.1,360
435.5,-0.6,-6.7,-7.39457,60,1.5,10
436.5,-1.1,-5,-5.49621,72,0,0
437.5,-1.7,-6.1,-6.629,69,1.5,20
438.5,-1.7,-6.7,-7.40311,65,0,0
439.5,-1.7,-7.8,-8.64756,59,1.5,360
440.5,0,-6.7,-7.49256,57,1.5,340
441.5,2.2,-6.7,-7.66627,48,3.6,360
442.5,2.8,-7.2,-8.2361,44,4.1,340
443.5,3.9,-7.2,-8.14498,41,4.6,310
444.5,4.4,-8.3,-9.35744,36,2.6,360
445.5,5,-8.9,-9.92869,33,3.1,330
446.5,6.1,-10,-11.0351,28,4.6,300
447.5,5.6,-10.6,-11.9199,27,3.1,340
448.5,3.9,-12.2,-13.8462,26,5.2,350
449.5,1.1,-11.7,-13.0005,34,4.1,330
450.5,-0.6,-11.1,-12.2112,41,4.1,340
451.5,-1.7,-10.6,-11.7848,46,3.6,330
452.5,-2.2,-10,-10.9582,51,3.6,330
453.5,-2.8,-9.4,-10.1198,57,2.6,320
454.5,-3.9,-10,-10.7205,59,2.6,360
455.5,-3.9,-9.4,-10.0964,62,0,0
456.5,-4.4,-10,-10.7744,61,1.5,30
457.5,-4.4,-10.6,-11.4052,58,1.5,70
458.5,-6.7,-11.1,-11.6064,68,2.6,60
459.5,-6.7,-11.1,-11.6064,68,0,0
460.5,-6.7,-11.1,-11.6064,68,0,0
461.5,-6.7,-10.6,-11.0675,71,0,0
462.5,-7.2,-11.1,-11.5488,71,0,0
463.5,-7.2,-10.6,-11.0321,74,0,0
464.5,-5,-9.4,-9.97808,68,0,0
465.5,-3.3,-10,-10.8113,56,0,0
466.5,-1.1,-11.1,-12.3659,42,0,0
467.5,0,-13.3,-14.7114,32,2.1,270
468.5,1.1,-14.4,-16.252,26,2.1,320
469.5,3.3,-15,-16.9266,21,0,0
470.5,5,-15.6,-17.3393,18,0,0
471.5,5,-12.8,-14.4013,23,0,0
472.5,5,-12.8,-14.4013,23,2.6,290
473.5,2.8,-10.6,-11.8674,33,1.5,120
474.5,2.2,-11.1,-12.3966,33,0,0
475.5,-1.1,-9.4,-10.443,49,2.1,20
476.5,-0.6,-9.4,-10.5069,47,2.1,360
477.5,-1.7,-10,-10.9966,49,0,0
478.5,-2.2,-10,-10.9582,51,0,0
479.5,-2.8,-10,-10.7999,54,0,0
480.5,-3.3,-7.8,-8.35029,68,1.5,60
481.5,-4.4,-6.7,-7.00175,82,0,0
482.5,-3.9,-7.8,-8.37302,71,0,0
483.5,-2.8,-9.4,-10.1198,57,0,0
484.5,-5,-8.3,-8.73365,75,0,0
485.5,-5,-7.2,-7.43201,83,0,0
486.5,-5,-7.8,-8.06819,79,0,0
487.5,-6.1,-7.8,-8.05397,86,0,0
488.5,-2.8,-7.2,-7.68364,69,0,0
489.5,-1.7,-10.6,-11.7848,46,3.1,290
490.5,0,-11.7,-12.939,37,3.1,210
491.5,2.2,-11.1,-12.3966,33,3.6,220
492.5,3.3,-10,-11.0537,34,3.6,220
493.5,5,-8.9,-9.92869,33,2.6,240
494.5,6.1,-7.8,-8.96012,33,2.6,220
495.5,6.7,-7.2,-8.04916,34,3.1,190
496.5,6.1,-6.7,-7.49261,37,5.2,200
497.5,5,-6.7,-7.47141,40,3.6,220
498.5,3.3,-6.1,-6.92851,47,3.1,190
499.5,2.8,-6.1,-6.8473,49,3.1,230
500.5,1.1,-6.7,-7.6506,52,0,0
501.5,2.2,-6.7,-7.66627,48,2.1,230
502.5,1.7,-7.2,-8.12603,48,2.6,280
503.5,1.1,-7.8,-8.67784,48,2.1,310
504.5,-0.6,-7.8,-8.74782,54,2.6,320
505.5,-0.6,-7.8,-8.74782,54,0,0
506.5,-1.7,-7.8,-8.64756,59,2.1,340
507.5,-1.7,-7.2,-7.80616,63,1.5,280
508.5,-3.3,-7.2,-7.61558,72,1.5,290
509.5,-2.2,-7.2,-7.87926,65,0,0
510.5,-1.7,-7.2,-7.80616,63,1.5,340
511.5,-3.9,-6.7,-6.99707,79,0,0
512.5,0.6,-4.4,-5.01226,66,0,0
513.5,4.4,-2.2,-2.45728,61,2.1,300
514.5,7.2,-3.3,-3.64233,46,6.7,250
515.5,8.9,-3.3,-3.63576,41,6.7,280
516.5,10.6,-2.8,-3.12763,38,6.7,260
517.5,11.1,-4.4,-4.97102,32,7.2,270
518.5,12.2,-5,-5.77173,28,8.8,280
519.5,11.1,-4.4,-4.97102,32,9.3,280
520.5,10,-4.4,-5.13782,34,8.8,290
521.5,8.9,-3.9,-4.30126,39,6.2,310
522.5,7.2,-3.3,-3.64233,46,6.2,300
523.5,6.7,-2.8,-3.25625,49,5.2,290
524.5,5.6,-3.3,-3.73643,51,4.1,320
525.5,5.6,-7.8,-8.65082,35,10.8,310
526.5,3.9,-11.1,-12.5053,29,5.2,300
527.5,2.8,-13.9,-15.7555,24,4.6,300
528.5,1.7,-21.1,-23.7541,13,0,0
529.5,0.6,-21.7,-23.8104,14,0,0
530.5,0.6,-22.2,-24.6331,13,4.1,300
