,"Ambient temperature | (C)","AC inverter power | (W)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Sep 23, 02:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,2.1
"Sep 23, 03:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,2.1
"Sep 23, 04:00 am",20.6,0,0,0,0,0,0,20.6,0,0,1,0,0,2.6
"Sep 23, 05:00 am",21.7,0,87.1823,0,0,0,0,21.7,0,0,1,2,0,2.6
"Sep 23, 06:00 am",22.2,184.848,77.7598,0,211.097,63,63,22.1401,60.6047,0.184848,1,1,60.6047,4.1
"Sep 23, 07:00 am",21.7,430.725,63.3657,0,462.21,138,138,23.6028,133.604,0.430725,1,1,133.604,2.6
"Sep 23, 08:00 am",22.2,874.914,49.1196,37,917.258,244,265,27.4209,270.397,0.874914,1,1,269.951,3.1
"Sep 23, 09:00 am",23.3,405.909,35.305,0,436.842,133,133,25.3768,127.326,0.405909,1,1,127.326,3.6
"Sep 23, 10:00 am",23.9,553.685,22.7783,0,587.996,179,179,26.8316,172.565,0.553685,1,1,172.565,3.1
"Sep 23, 11:00 am",25.6,498.594,15.202,0,531.622,163,163,27.9077,156.82,0.498594,1,1,156.82,4.6
"Sep 23, 12:00 pm",27.2,2049.34,19.5851,269,2129.21,388,603,42.5353,675.26,2.04934,1,1,675.143,2.6
"Sep 23, 01:00 pm",27.8,945.263,31.243,24,989.493,289,306,36.2594,304.034,0.945263,1,1,303.983,2.1
"Sep 23, 02:00 pm",27.8,726.978,44.8103,18,765.504,224,235,32.5956,231.122,0.726978,1,1,230.972,3.1
"Sep 23, 03:00 pm",25.6,162.297,58.9678,0,188.093,58,58,26.1855,55.0329,0.162297,1,1,55.0329,2.1
"Sep 23, 04:00 pm",26.1,63.8181,73.3423,0,87.6906,27,27,25.4315,25.5658,0.0638181,1,1,25.5658,3.1
"Sep 23, 05:00 pm",23.3,4.00609,85.0738,40,26.753,6,8,21.9332,9.74649,0.00400609,1,3,7.67327,2.1
"Sep 23, 06:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,0
"Sep 23, 07:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,2.1
"Sep 23, 08:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,0
"Sep 23, 09:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,0
"Sep 23, 10:00 pm",21.1,0,0,0,0,0,0,21.1,0,0,1,0,0,2.1
"Sep 23, 11:00 pm",22.2,0,0,0,0,0,0,22.2,0,0,1,0,0,1.5
"Sep 24, 12:00 am",21.6,0,0,0,0,0,0,21.6,0,0,1,0,0,0
"Sep 24, 01:00 am",21.3,0,0,0,0,0,0,21.3,0,0,1,0,0,2.6
"Sep 24, 02:00 am",21.3,0,0,0,0,0,0,21.3,0,0,1,0,0,2.6
"Sep 24, 03:00 am",21.6,0,0,0,0,0,0,21.6,0,0,1,0,0,1.5
"Sep 24, 04:00 am",21.6,0,0,0,0,0,0,21.6,0,0,1,0,0,1.5
"Sep 24, 05:00 am",21.2,0,87.1033,0,0,0,0,21.2,0,0,1,2,0,1.5
"Sep 24, 06:00 am",22.7,114.114,77.7761,0,138.958,42,42,22.0946,39.8856,0.114114,1,1,39.8856,2.6
"Sep 24, 07:00 am",21.8,143.538,63.3941,0,168.961,51,51,21.5176,48.3681,0.143538,1,1,48.3681,3.1
"Sep 24, 08:00 am",22.4,298.155,49.1711,0,326.749,99,99,23.2112,94.2763,0.298155,1,1,94.2763,3.6
"Sep 24, 09:00 am",25.6,2199.58,35.4028,546,2285.19,246,622,41.0722,721.049,2.19958,1,1,719.214,3.1
"Sep 24, 10:00 am",26.8,2249.64,22.9764,410,2337.21,323,642,41.8436,738.781,2.24964,1,1,738.482,4.6
"Sep 24, 11:00 am",29.2,2297.75,15.5747,414,2387.23,332,670,46.3524,772.145,2.29775,1,1,772.054,3.6
"Sep 24, 12:00 pm",29.8,1591.36,19.9421,132,1655.05,374,479,40.585,519.666,1.59136,1,1,519.605,4.6
"Sep 24, 01:00 pm",29.3,1208.56,31.5139,95,1260.26,306,375,38.8626,392.44,1.20856,1,1,392.232,2.6
"Sep 24, 02:00 pm",25.6,245.02,45.0345,0,272.5,84,84,26.4632,79.8339,0.24502,1,1,79.8339,6.2
"Sep 24, 03:00 pm",25.2,924.096,59.1676,209,967.754,184,274,32.2594,296.855,0.924096,1,1,291.518,1.5
"Sep 24, 04:00 pm",25.3,485.699,73.5287,296,518.431,79,149,28.6106,169.918,0.485699,1,1,153.443,3.1
"Sep 24, 05:00 pm",24.2,3.92896,85.0792,41,26.6744,6,7,23.338,9.82471,0.00392896,1,3,7.70086,2.1
"Sep 24, 06:00 pm",23.8,0,0,0,0,0,0,23.8,0,0,1,0,0,2.1
"Sep 24, 07:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,3.1
"Sep 24, 08:00 pm",23.2,0,0,0,0,0,0,23.2,0,0,1,0,0,3.1
"Sep 24, 09:00 pm",23.2,0,0,0,0,0,0,23.2,0,0,1,0,0,1.5
"Sep 24, 10:00 pm",23.3,0,0,0,0,0,0,23.3,0,0,1,0,0,0
"Sep 24, 11:00 pm",23.4,0,0,0,0,0,0,23.4,0,0,1,0,0,1.5
"Sep 25, 12:00 am",23.4,0,0,0,0,0,0,23.4,0,0,1,0,0,0
"Sep 25, 01:00 am",22.7,0,0,0,0,0,0,22.7,0,0,1,0,0,1.5
"Sep 25, 02:00 am",22.7,0,0,0,0,0,0,22.7,0,0,1,0,0,0
"Sep 25, 03:00 am",22.7,0,0,0,0,0,0,22.7,0,0,1,0,0,3.1
"Sep 25, 04:00 am",22.6,0,0,0,0,0,0,22.6,0,0,1,0,0,3.1
"Sep 25, 05:00 am",22.8,0,87.0245,0,0,0,0,22.8,0,0,1,2,0,2.6
"Sep 25, 06:00 am",22.2,45.9997,77.7937,0,69.5335,21,21,21.2024,19.8763,0.0459997,1,1,19.8763,3.6
"Sep 25, 07:00 am",22.8,142.79,63.4245,0,168.198,51,51,22.4925,48.3678,0.14279,1,1,48.3678,3.1
"Sep 25, 08:00 am",22.3,233.571,49.2257,0,260.814,79,79,22.6382,75.0518,0.233571,1,1,75.0518,4.6
"Sep 25, 09:00 am",23,303.839,35.5048,0,332.553,101,101,23.7363,96.1864,0.303839,1,1,96.1864,5.7
"Sep 25, 10:00 am",20.7,360.246,23.1799,0,390.174,117,117,21.7095,111.794,0.360246,1,1,111.794,5.7
"Sep 25, 11:00 am",21.1,412.371,15.9487,0,443.447,133,133,22.3552,127.438,0.412371,1,1,127.438,6.2
"Sep 25, 12:00 pm",18.9,523.039,20.3003,0,556.633,165,165,20.7805,158.805,0.523039,1,1,158.805,5.7
"Sep 25, 01:00 pm",19.4,471.969,31.7866,0,504.387,150,150,20.9756,144.029,0.471969,1,1,144.029,6.2
"Sep 25, 02:00 pm",18.3,1365.64,45.26,201,1422.1,260,379,23.5069,412.629,1.36564,1,1,410.881,8.2
"Sep 25, 03:00 pm",16,456.648,59.3679,6,488.718,139,142,17.2627,137.36,0.456648,1,1,137.205,9.3
"Sep 25, 04:00 pm",15,142.008,73.715,0,167.401,49,49,14.8113,46.4801,0.142008,1,1,46.4801,7.7
"Sep 25, 05:00 pm",13.3,0,85.0843,0,10.3152,3,3,12.3449,2.83276,0,1,3,2.83276,7.7
"Sep 25, 06:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,5.7
"Sep 25, 07:00 pm",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,5.7
"Sep 25, 08:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,6.7
"Sep 25, 09:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,4.1
"Sep 25, 10:00 pm",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,7.2
"Sep 25, 11:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,6.2
"Sep 26, 12:00 am",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,4.1
"Sep 26, 01:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,5.2
"Sep 26, 02:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,6.7
"Sep 26, 03:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,3.6
"Sep 26, 04:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,3.1
"Sep 26, 05:00 am",10,0,86.946,0,0,0,0,10,0,0,1,2,0,3.1
"Sep 26, 06:00 am",10.6,125.438,77.8125,0,150.504,43,43,10.0099,40.9076,0.125438,1,1,40.9076,5.2
"Sep 26, 07:00 am",11.1,303.489,63.4569,0,332.196,95,95,11.5443,90.9047,0.303489,1,1,90.9047,5.2
"Sep 26, 08:00 am",12.8,1624.45,49.2832,344,1689.25,243,431,20.1062,484.649,1.62445,1,1,480.444,6.2
"Sep 26, 09:00 am",13.9,1324.12,35.6112,91,1379.29,312,374,20.1212,392.627,1.32412,1,1,392.314,6.2
"Sep 26, 10:00 am",15.6,1445.33,23.3887,96,1504.29,339,413,23.8422,435.384,1.44533,1,1,435.31,4.6
"Sep 26, 11:00 am",16.1,2829.16,16.324,631,2941.18,246,754,33.6782,892.293,2.82916,1,1,892.134,4.6
"Sep 26, 12:00 pm",17.2,2761.55,20.6594,688,2870.54,197,738,35.2958,878.021,2.76155,1,1,877.665,4.6
"Sep 26, 01:00 pm",18.9,2522.32,32.0609,756,2620.99,137,674,35.4838,803.869,2.52232,1,1,802.109,4.6
"Sep 26, 02:00 pm",19.4,2022.19,45.4865,703,2101.05,117,529,30.2241,632.931,2.02219,1,1,626.695,6.2
"Sep 26, 03:00 pm",19.4,1295.58,59.5687,557,1349.89,112,346,27.0076,411.109,1.29558,1,1,396.496,5.2
"Sep 26, 04:00 pm",18.3,517.625,73.901,398,551.093,61,151,21.1302,179.927,0.517625,1,1,157.478,5.2
"Sep 26, 05:00 pm",15.6,0,85.089,31,15.7217,3,4,14.5896,5.96514,0,1,3,4.3609,4.1
"Sep 26, 06:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,4.1
"Sep 26, 07:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,3.1
"Sep 26, 08:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.6
"Sep 26, 09:00 pm",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,2.6
"Sep 26, 10:00 pm",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,2.1
"Sep 26, 11:00 pm",10,0,0,0,0,0,0,10,0,0,1,0,0,2.1
"Sep 27, 12:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,0
"Sep 27, 01:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,2.6
"Sep 27, 02:00 am",8.9,0,0,0,0,0,0,8.9,0,0,1,0,0,2.1
"Sep 27, 03:00 am",8.3,0,0,0,0,0,0,8.3,0,0,1,0,0,2.6
"Sep 27, 04:00 am",7.8,0,0,0,0,0,0,7.8,0,0,1,0,0,1.5
"Sep 27, 05:00 am",8.3,0,86.8677,0,0,0,0,8.3,0,0,1,2,0,1.5
"Sep 27, 06:00 am",10.6,370.907,77.8327,181,401.068,79,109,11.9918,121.284,0.370907,1,1,109.969,1.5
"Sep 27, 07:00 am",13.3,1091.85,63.4915,482,1140.16,114,292,21.0005,341.852,1.09185,1,1,325.613,2.1
"Sep 27, 08:00 am",16.1,1879.82,49.3439,657,1953.47,135,491,28.5697,586.141,1.87982,1,1,578.069,3.6
"Sep 27, 09:00 am",17.8,2377.23,35.7218,698,2469.91,161,635,35.3787,757.907,2.37723,1,1,755.48,3.1
"Sep 27, 10:00 am",20,2670.54,23.6026,766,2775.55,153,740,43.298,884.151,2.67054,1,1,883.54,2.1
"Sep 27, 11:00 am",20.6,2766.44,16.7002,787,2875.65,153,784,47.7867,937.249,2.76644,1,1,937.037,1.5
"Sep 27, 12:00 pm",22.2,2707.17,21.0191,778,2813.77,148,756,44.9164,903.649,2.70717,1,1,903.224,2.6
"Sep 27, 01:00 pm",23.3,2370.94,32.3367,709,2463.36,151,651,41.9769,780.574,2.37094,1,1,778.871,3.1
"Sep 27, 02:00 pm",23.9,1815.78,45.7141,691,1887.16,122,523,49.9189,628.165,1.81578,1,1,621.912,0
"Sep 27, 03:00 pm",23.9,1210.46,59.7697,528,1262.21,116,335,33.2407,396.081,1.21046,1,1,382.042,3.1
"Sep 27, 04:00 pm",22.8,472.695,74.0867,348,505.129,65,141,26.0526,167.455,0.472695,1,1,147.7,3.6
"Sep 27, 05:00 pm",19.4,0,85.0931,5,7.73993,2,2,18.1916,2.44077,0,1,3,2.18213,2.1
"Sep 27, 06:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,3.1
"Sep 27, 07:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,3.1
"Sep 27, 08:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,2.1
"Sep 27, 09:00 pm",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,0
"Sep 27, 10:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,0
"Sep 27, 11:00 pm",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,0
"Sep 28, 12:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,3.6
"Sep 28, 01:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,0
"Sep 28, 02:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,0
"Sep 28, 03:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,0
"Sep 28, 04:00 am",9.4,0,0,0,0,0,0,9.4,0,0,1,0,0,0
"Sep 28, 05:00 am",8.9,0,86.7899,0,0,0,0,8.9,0,0,1,2,0,0
"Sep 28, 06:00 am",11.1,377.85,77.8542,182,408.163,81,111,13.0694,123.832,0.37785,1,1,112.451,0
"Sep 28, 07:00 am",15.6,1091.62,63.5283,489,1139.92,114,292,22.904,344.941,1.09162,1,1,328.429,2.6
"Sep 28, 08:00 am",18.9,1816.81,49.4077,645,1888.22,137,484,33.4514,580.076,1.81681,1,1,572.111,2.1
"Sep 28, 09:00 am",21.1,2379.14,35.8366,728,2471.89,143,635,36.332,762.227,2.37914,1,1,759.665,4.6
"Sep 28, 10:00 am",22.8,2597.45,23.8214,693,2699.3,180,709,40.9727,849.685,2.59745,1,1,849.115,4.1
"Sep 28, 11:00 am",23.3,2755.13,17.0772,721,2863.84,173,748,40.4931,898.893,2.75513,1,1,898.685,5.2
"Sep 28, 12:00 pm",24.4,2660.84,21.3794,706,2765.42,183,732,42.4944,877.101,2.66084,1,1,876.694,4.6
"Sep 28, 01:00 pm",25.6,2389.23,32.6138,703,2482.39,152,645,39.0218,774.959,2.38923,1,1,773.217,6.2
"Sep 28, 02:00 pm",25.6,1908.27,45.9424,667,1982.95,127,512,36.1577,615.034,1.90827,1,1,608.878,6.2
"Sep 28, 03:00 pm",24.4,1239.1,59.971,545,1291.7,111,335,30.7332,400.918,1.2391,1,1,386.233,6.7
"Sep 28, 04:00 pm",23.3,454.975,74.272,336,487.007,63,136,25.4174,161.17,0.454975,1,1,141.975,6.7
"Sep 28, 05:00 pm",20,0,85.0966,15,9.25514,2,2,18.9046,3.39345,0,1,3,2.61782,3.1
"Sep 28, 06:00 pm",18.9,0,0,0,0,0,0,18.9,0,0,1,0,0,2.6
"Sep 28, 07:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,3.6
"Sep 28, 08:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,4.1
"Sep 28, 09:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,2.6
"Sep 28, 10:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,2.1
"Sep 28, 11:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,2.6
"Sep 29, 12:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,0
"Sep 29, 01:00 am",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,1.5
"Sep 29, 02:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.1
"Sep 29, 03:00 am",12.2,0,0,0,0,0,0,12.2,0,0,1,0,0,1.5
"Sep 29, 04:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,0
"Sep 29, 05:00 am",10.6,0,86.7124,0,0,0,0,10.6,0,0,1,2,0,0
"Sep 29, 06:00 am",13.9,340.312,77.8773,152,369.808,76,101,15.3648,112.444,0.340312,1,1,102.936,0
"Sep 29, 07:00 am",16.7,1057.77,63.5674,470,1105.11,115,286,24.9892,337.426,1.05777,1,1,321.519,1.5
"Sep 29, 08:00 am",20,1843.71,49.4746,657,1916.08,132,485,31.1682,582.292,1.84371,1,1,574.134,4.6
"Sep 29, 09:00 am",22.2,2245.29,35.9557,619,2332.68,187,603,36.5945,720.026,2.24529,1,1,717.82,4.6
"Sep 29, 10:00 am",23.9,2604.8,24.0451,706,2706.96,173,709,41.2067,853.14,2.6048,1,1,852.541,4.6
"Sep 29, 11:00 am",24.4,2717.23,17.4549,733,2824.27,166,748,43.7694,901.46,2.71723,1,1,901.234,4.1
"Sep 29, 12:00 pm",24.4,2647.41,21.74,700,2751.41,185,726,42.4027,872.27,2.64741,1,1,871.843,4.6
"Sep 29, 01:00 pm",24.4,2287.3,32.892,643,2376.36,191,639,44.9314,764.52,2.2873,1,1,762.875,2.1
"Sep 29, 02:00 pm",25.6,1633.52,46.1713,419,1698.63,216,456,38.3287,531.197,1.63352,1,1,527.252,3.1
"Sep 29, 03:00 pm",25,1152.69,60.1722,481,1202.75,123,318,33.2294,377.159,1.15269,1,1,364.024,3.6
"Sep 29, 04:00 pm",23.3,453.812,74.4566,318,485.818,68,135,26.5578,160.671,0.453812,1,1,142.393,3.1
"Sep 29, 05:00 pm",20.6,0,85.0994,0,3.32809,1,1,19.4591,0.943743,0,1,3,0.943743,3.1
"Sep 29, 06:00 pm",18.3,0,0,0,0,0,0,18.3,0,0,1,0,0,3.1
"Sep 29, 07:00 pm",16.1,0,0,0,0,0,0,16.1,0,0,1,0,0,2.6
"Sep 29, 08:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,3.1
"Sep 29, 09:00 pm",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,4.1
"Sep 29, 10:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,3.1
"Sep 29, 11:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,3.6
"Sep 30, 12:00 am",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,2.1
"Sep 30, 01:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,2.6
"Sep 30, 02:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,2.1
"Sep 30, 03:00 am",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,0
"Sep 30, 04:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,2.1
"Sep 30, 05:00 am",12.8,0,86.6354,0,0,0,0,12.8,0,0,1,2,0,2.6
"Sep 30, 06:00 am",15,345.028,77.9018,169,374.626,75,102,16.086,115.192,0.345028,1,1,104.616,3.1
"Sep 30, 07:00 am",17.8,1043.95,63.6088,438,1090.9,121,279,23.0206,329.337,1.04395,1,1,314.475,5.2
"Sep 30, 08:00 am",20,1814.68,49.5447,602,1886.01,151,472,28.6641,565.876,1.81468,1,1,558.358,6.7
"Sep 30, 09:00 am",21.7,2315.85,36.0791,680,2406.05,162,616,36.5153,742.559,2.31585,1,1,740.104,4.6
"Sep 30, 10:00 am",23.3,2642.02,24.2733,736,2745.79,166,722,42.6987,872.026,2.64202,1,1,871.381,3.6
"Sep 30, 11:00 am",24.4,2669.46,17.8331,709,2774.42,176,736,44.38,888.355,2.66946,1,1,888.123,3.6
"Sep 30, 12:00 pm",26.1,2577.12,22.1007,628,2678.1,237,720,44.6259,858.786,2.57712,1,1,858.382,4.1
"Sep 30, 01:00 pm",26.1,1670.71,33.1712,244,1737.07,309,478,38.5807,540.509,1.67071,1,1,539.866,3.6
"Sep 30, 02:00 pm",25,1805,46.4008,573,1875.99,170,494,38.5096,588.336,1.805,1,1,582.834,3.1
"Sep 30, 03:00 pm",25.6,1094.9,60.3734,417,1143.3,135,302,32.7151,356.701,1.0949,1,1,345.162,4.6
"Sep 30, 04:00 pm",24.4,422.307,74.6405,269,453.605,70,125,27.1731,148.894,0.422307,1,1,133.34,3.6
"Sep 30, 05:00 pm",21.7,0,85.1016,0,0,0,0,21.7,0,0,1,3,0,2.6
"Sep 30, 06:00 pm",19.4,0,0,0,0,0,0,19.4,0,0,1,0,0,2.6
"Sep 30, 07:00 pm",18.3,0,0,0,0,0,0,18.3,0,0,1,0,0,2.6
"Sep 30, 08:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Sep 30, 09:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Sep 30, 10:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Sep 30, 11:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Oct 1, 12:00 am",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Oct 1, 01:00 am",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Oct 1, 02:00 am",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Oct 1, 03:00 am",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,3.1
"Oct 1, 04:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,3.1
"Oct 1, 05:00 am",16.7,0,86.5702,0,17.4388,5,5,15.1431,4.84923,0,1,2,4.84923,3.1
"Oct 1, 06:00 am",17.2,164.297,77.9227,0,190.133,55,55,16.7659,53.2587,0.164297,1,1,53.2587,2.1
"Oct 1, 07:00 am",17.8,475.276,63.6444,1,507.769,147,147,20.0168,144.39,0.475276,1,1,144.356,2.1
"Oct 1, 08:00 am",19.4,817.444,49.6053,0,858.281,251,251,23.8706,248.402,0.817444,1,1,248.402,3.6
"Oct 1, 09:00 am",21.7,1942.82,36.1855,467,2018.75,217,528,37.033,624.277,1.94282,1,1,622.573,2.1
"Oct 1, 10:00 am",23.9,2146.44,24.4687,426,2230,270,592,39.2697,695.854,2.14644,1,1,695.47,3.6
"Oct 1, 11:00 am",22.2,830.838,18.1524,3,872.024,262,265,29.5653,259.283,0.830838,1,1,259.282,2.1
"Oct 1, 12:00 pm",22.8,939.884,22.4057,9,983.968,288,295,28.8293,291.542,0.939884,1,1,291.536,3.1
"Oct 1, 01:00 pm",23.3,1202.44,33.4081,75,1253.95,306,358,31.3811,376.326,1.20244,1,1,376.123,3.1
"Oct 1, 02:00 pm",23.3,1280.05,46.5956,234,1333.89,226,358,32.7806,405.115,1.28005,1,1,402.83,2.6
"Oct 1, 03:00 pm",22.8,432.005,60.5439,9,463.519,135,139,25.5252,135.448,0.432005,1,1,135.196,3.1
"Oct 1, 04:00 pm",22.2,135.276,74.796,2,160.535,48,48,22.1432,46.2057,0.135276,1,1,46.0895,2.1
"Oct 1, 05:00 pm",20.6,34.9979,85.1034,7,58.324,17,18,19.4869,16.9027,0.0349979,1,3,16.541,2.6
"Oct 1, 06:00 pm",20,0,0,0,0,0,0,20,0,0,1,0,0,2.6
"Oct 1, 07:00 pm",18.3,0,0,0,0,0,0,18.3,0,0,1,0,0,2.6
"Oct 1, 08:00 pm",17.8,0,0,0,0,0,0,17.8,0,0,1,0,0,0
"Oct 1, 09:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,2.1
"Oct 1, 10:00 pm",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,2.1
"Oct 1, 11:00 pm",17.2,0,0,0,0,0,0,17.2,0,0,1,0,0,0
"Oct 2, 12:00 am",16.7,0,0,0,0,0,0,16.7,0,0,1,0,0,0
"Oct 2, 01:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,2.1
"Oct 2, 02:00 am",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,0
"Oct 2, 03:00 am",15,0,0,0,0,0,0,15,0,0,1,0,0,1.5
"Oct 2, 04:00 am",15,0,0,0,0,0,0,15,0,0,1,0,0,0
"Oct 2, 05:00 am",14.4,0,86.4941,5,10.9157,3,4,12.6956,3.21529,0,1,2,3.00233,2.6
"Oct 2, 06:00 am",16.1,188.617,77.9503,15,214.942,59,61,14.9535,60.6577,0.188617,1,1,59.7183,0
"Oct 2, 07:00 am",17.2,518.044,63.6903,58,551.521,134,155,21.7952,160.064,0.518044,1,1,158.086,0
"Oct 2, 08:00 am",20.6,728.341,49.6815,83,766.902,164,208,24.7741,223.944,0.728341,1,1,222.896,3.1
"Oct 2, 09:00 am",21.1,695.571,36.3167,10,733.313,210,216,24.126,212.524,0.695571,1,1,212.487,5.7
"Oct 2, 10:00 am",20.6,899.887,24.7053,4,942.895,275,278,24.5054,273.706,0.899887,1,1,273.703,6.2
"Oct 2, 11:00 am",19.4,1151.22,18.5312,10,1201.24,344,353,25.7414,350.73,1.15122,1,1,350.726,4.6
"Oct 2, 12:00 pm",18.3,569.046,22.7662,4,603.72,175,178,21.3478,172.693,0.569046,1,1,172.69,4.1
"Oct 2, 01:00 pm",20,925.205,33.6884,8,968.893,279,285,24.7556,281.602,0.925205,1,1,281.579,4.6
"Oct 2, 02:00 pm",20.6,1651.04,46.8255,453,1716.73,184,437,30.9441,518.356,1.65104,1,1,513.844,4.1
"Oct 2, 03:00 pm",21.7,1012.53,60.7445,368,1058.6,129,274,29.1217,324.522,1.01253,1,1,314.089,3.1
"Oct 2, 04:00 pm",20,315.223,74.978,162,344.18,62,94,22.1851,108.3,0.315223,1,1,98.8329,2.1
"Oct 2, 05:00 pm",17.2,30.0298,85.104,15,53.2625,15,17,16.2793,15.6618,0.0300298,1,3,14.8867,4.1
"Oct 2, 06:00 pm",15.6,0,0,0,0,0,0,15.6,0,0,1,0,0,3.6
"Oct 2, 07:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,2.6
"Oct 2, 08:00 pm",15,0,0,0,0,0,0,15,0,0,1,0,0,3.1
"Oct 2, 09:00 pm",14.4,0,0,0,0,0,0,14.4,0,0,1,0,0,2.1
"Oct 2, 10:00 pm",13.3,0,0,0,0,0,0,13.3,0,0,1,0,0,2.1
"Oct 2, 11:00 pm",13.9,0,0,0,0,0,0,13.9,0,0,1,0,0,0
"Oct 3, 12:00 am",12.8,0,0,0,0,0,0,12.8,0,0,1,0,0,0
"Oct 3, 01:00 am",11.7,0,0,0,0,0,0,11.7,0,0,1,0,0,0
"Oct 3, 02:00 am",11.1,0,0,0,0,0,0,11.1,0,0,1,0,0,0
"Oct 3, 03:00 am",10.6,0,0,0,0,0,0,10.6,0,0,1,0,0,0
"Oct 3, 04:00 am",10,0,0,0,0,0,0,10,0,0,1,0,0,0
"Oct 3, 05:00 am",9.4,0,86.4186,4,18.4713,5,5,5.65487,5.09909,0,1,2,4.92639,0
"Oct 3, 06:00 am",12.2,304.257,77.9796,272,332.981,46,88,13.4149,108.92,0.304257,1,1,91.8792,0
"Oct 3, 07:00 am",14.4,1111.04,63.7386,573,1159.89,81,284,20.3672,349.878,1.11104,1,1,330.283,4.6
