,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Apr 17, 02:00 pm",493.541,17.4,31.37,0,526.453,156,156,19.7677,149.497,0.493541,1,1,149.497,2.9
"Apr 17, 03:00 pm",460.11,17.4,45.7351,0,492.258,146,146,19.5498,139.647,0.46011,1,1,139.647,2.9
"Apr 17, 04:00 pm",312.246,17.1,60.1203,0,341.139,101,101,18.1515,96.1605,0.312246,1,1,96.1605,2.9
"Apr 17, 05:00 pm",311.345,16.8,74.4418,8,340.219,99,101,17.6028,96.1218,0.311345,1,1,95.6622,4.2
"Apr 17, 06:00 pm",4.41356,16.6,87.9216,0,27.168,8,8,15.4784,7.56604,0.00441356,1,3,7.56604,4.2
"Apr 17, 07:00 pm",0,15.6,0,0,0,0,0,15.6,0,0,1,0,0,4.2
"Apr 17, 08:00 pm",0,14.5,0,0,0,0,0,14.5,0,0,1,0,0,1.9
"Apr 17, 09:00 pm",0,13.5,0,0,0,0,0,13.5,0,0,1,0,0,1.9
"Apr 17, 10:00 pm",0,13.5,0,0,0,0,0,13.5,0,0,1,0,0,1.9
"Apr 17, 11:00 pm",0,13.5,0,0,0,0,0,13.5,0,0,1,0,0,4.8
"Apr 18, 12:00 am",0,13.5,0,0,0,0,0,13.5,0,0,1,0,0,4.8
"Apr 18, 01:00 am",0,13.2,0,0,0,0,0,13.2,0,0,1,0,0,4.8
"Apr 18, 02:00 am",0,12.9,0,0,0,0,0,12.9,0,0,1,0,0,4.7
"Apr 18, 03:00 am",0,12.7,0,0,0,0,0,12.7,0,0,1,0,0,4.7
"Apr 18, 04:00 am",0,12.5,0,0,0,0,0,12.5,0,0,1,0,0,4.7
"Apr 18, 05:00 am",0,12.4,93.1086,0,0,0,0,12.4,0,0,1,2,0,4.4
