,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Dec 9, 08:00 pm",0,-8.3,0,0,0,0,0,-8.3,0,0,1,0,0,3.6
"Dec 9, 09:00 pm",0,-8.9,0,0,0,0,0,-8.9,0,0,1,0,0,3.6
"Dec 9, 10:00 pm",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,4.1
"Dec 9, 11:00 pm",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,3.1
"Dec 10, 12:00 am",0,-9.4,0,0,0,0,0,-9.4,0,0,1,0,0,4.1
"Dec 10, 01:00 am",0,-10.6,0,0,0,0,0,-10.6,0,0,1,0,0,3.6
"Dec 10, 02:00 am",0,-10.6,0,0,0,0,0,-10.6,0,0,1,0,0,3.1
"Dec 10, 03:00 am",0,-11.7,0,0,0,0,0,-11.7,0,0,1,0,0,4.6
"Dec 10, 04:00 am",0,-10.6,0,0,0,0,0,-10.6,0,0,1,0,0,2.1
"Dec 10, 05:00 am",0,-11.1,0,0,0,0,0,-11.1,0,0,1,0,0,2.6
"Dec 10, 06:00 am",0,-11.1,0,0,0,0,0,-11.1,0,0,1,0,0,4.1
"Dec 10, 07:00 am",130.02,-10.6,76.912,102,155.176,15,25,-11.1935,44.8545,0.13002,1,2,38.5852,5.2
"Dec 10, 08:00 am",651.145,-8.3,67.7034,284,687.793,59,110,-6.09458,186.749,0.651145,1,1,174.599,5.2
