,"AC inverter power | (W)","Ambient temperature | (C)","Angle of incidence | (deg)","Beam irradiance | (W/m2)","DC array power | (W)","Diffuse irradiance | (W/m2)","Global horizontal irradiance | (W/m2)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Power generated by system | (kW)","Shading factor for beam radiation","Sun up over horizon | (0/1)","Transmitted plane of array irradiance | (W/m2)","Wind speed | (m/s)"
"Apr 12, 02:00 am",0,16.5,0,0,0,0,0,16.5,0,0,1,0,0,7.1
"Apr 12, 03:00 am",0,15.7,0,0,0,0,0,15.7,0,0,1,0,0,7.1
"Apr 12, 04:00 am",0,15.3,0,0,0,0,0,15.3,0,0,1,0,0,7.1
"Apr 12, 05:00 am",0,14.8,0,0,0,0,0,14.8,0,0,1,0,0,8.8
"Apr 12, 06:00 am",51.8408,14.4,87.2669,0,75.4854,22,22,13.7611,20.8608,0.0518408,1,2,20.8608,8.8
"Apr 12, 07:00 am",115.358,14.9,73.9723,0,140.226,41,41,14.5211,38.8843,0.115358,1,1,38.8843,8.8
"Apr 12, 08:00 am",315.28,15.4,59.3166,0,344.238,101,101,16.1332,96.1504,0.31528,1,1,96.1504,3.1
"Apr 12, 09:00 am",536.43,15.9,44.6118,0,570.335,168,168,18.352,160.913,0.53643,1,1,160.913,3.1
"Apr 12, 10:00 am",2041.78,17.2,29.8923,259,2121.37,395,605,30.9827,635.545,2.04178,1,1,635.078,3.1
"Apr 12, 11:00 am",3153.22,18.5,15.2181,812,3280.32,218,945,40.6191,1030.2,3.15322,1,1,1030.04,3.9
"Apr 12, 12:00 pm",3209.45,19.8,2.40164,913,3339.27,136,980,43.3257,1063.15,3.20945,1,1,1063.14,3.9
